annotation,female,male
0_sucrose,2015,2380
1_sucrose,2127,2632
10_sucrose,446,625
11_sucrose,479,606
12_sucrose,504,614
13_sucrose,574,547
14_sucrose,446,414
15_sucrose,388,361
16_sucrose,483,538
17_sucrose,456,451
18_sucrose,344,476
19_sucrose,386,448
2_sucrose,1814,2192
20_sucrose,340,367
21_sucrose,437,379
22_sucrose,295,360
23_sucrose,272,378
24_sucrose,340,391
25_sucrose,290,247
26_sucrose,109,148
27_sucrose,114,107
28_sucrose,133,243
29_sucrose,83,112
3_sucrose,1345,1605
30_sucrose,117,158
31_sucrose,130,183
32_sucrose,113,214
33_sucrose,119,135
34_sucrose,73,121
35_sucrose,49,61
36_sucrose,43,63
37_sucrose,39,49
38_sucrose,17,25
4_sucrose,1291,1493
5_sucrose,1353,1447
6_sucrose,734,934
7_sucrose,687,646
8_sucrose,688,818
9_sucrose,563,617
