#submitted_item	validated_id	current_symbol
CG10007	FBgn0260744	Tango9
CG10011	FBgn0039590	CG10011
CG10023	FBgn0020440	Fak
CG10045	FBgn0001149	GstD1
CG10047	FBgn0028400	Syt4
CG1007	FBgn0000575	emc
CG10071	FBgn0016726	RpL29
CG10076	FBgn0003475	spir
CG10077	FBgn0035720	CG10077
CG10082	FBgn0034644	CG10082
CG10084	FBgn0002044	swm
CG10117	FBgn0265974	ttv
CG10120	FBgn0002719	Men
CG10130	FBgn0010638	Sec61Î²
CG10132	FBgn0032798	CG10132
CG10145	FBgn0020269	mspo
CG10155	FBgn0020767	Spred
CG10159	FBgn0015602	BEAF-32
CG10161	FBgn0040227	eIF3d1
CG10186	FBgn0032797	Hasp
CG10192	FBgn0260634	eIF4G2
CG10219	FBgn0039112	SdhD
CG10228	FBgn0264962	Pcf11
CG10249	FBgn0027596	Kank
CG10260	FBgn0267350	Pi4KIIIÎ±
CG10277	FBgn0037442	gzl
CG10279	FBgn0003261	Rm62
CG10289	FBgn0035688	fmt
CG10295	FBgn0267698	Pak
CG10305	FBgn0261597	RpS26
CG10306	FBgn0034654	eIF3k
CG10320	FBgn0034645	ND-B12
CG10326	FBgn0038453	Arl6IP1
CG10334	FBgn0005672	spi
CG10360	FBgn0003231	ref(2)P
CG10372	FBgn0025608	Faf2
CG10373	FBgn0032704	Jwa
CG10377	FBgn0004838	Hrb27C
CG10392	FBgn0261403	sxc
CG10395	FBgn0033019	CG10395
CG10406	FBgn0038426	mRpS33
CG10417	FBgn0033021	CG10417
CG10423	FBgn0039300	RpS27
CG10443	FBgn0000464	Lar
CG10470	FBgn0032746	CG10470
CG10473	FBgn0263198	Acn
CG1049	FBgn0041342	Pcyt1
CG10497	FBgn0010415	Sdc
CG10508	FBgn0037060	CG10508
CG10521	FBgn0015774	NetB
CG10537	FBgn0004244	Rdl
CG10539	FBgn0283472	S6k
CG10543	FBgn0034570	CG10543
CG10545	FBgn0001105	GÎ²13F
CG1057	FBgn0037262	MED31
CG10574	FBgn0028429	I-2
CG10579	FBgn0005640	Eip63E
CG10600	FBgn0032717	CG10600
CG10635	FBgn0035603	Pfdn4
CG10640	FBgn0035601	Uev1A
CG1065	FBgn0004888	ScsÎ±1
