annotation,female,male
0,2022,2069
1,2023,2037
13,498,478
15,503,543
16,486,467
18,377,403
19,404,342
2,1392,1456
21,381,350
25,259,306
29,266,243
3,1395,1228
30,262,251
32,183,285
34,223,234
4,1267,1247
40,201,174
44,133,126
47,159,161
49,134,161
5,1295,1005
50,135,147
51,151,129
54,148,127
56,147,118
59,113,130
6,887,1038
62,119,111
67,108,108
68,117,92
69,97,108
7,956,787
71,103,90
75,66,70
76,79,52
78,70,54
79,55,62
81,48,44
83,49,35
84,37,36
9,759,777
A/B-KC,347,341
A/B*-KC,243,275
adPN,61,46
adPN/C15,27,19
adPN/C15&kn,59,72
adPN/kn,36,34
adPN/kn&CG31676,4,7
AstA/NPF,12,8
AstA/Nplp1,39,44
Astrocyte-like,730,690
C2,77,50
C3,94,125
Capa,26,47
CCAP,3,6
CCHa1,13,9
Chiasm_glia,52,34
Clock,204,185
Cortex_glia,148,90
Crz,4,5
DCN,53,45
Dm8/Dm11,134,142
Dm9,78,61
DN1,21,8
Dopaminergic,61,64
dorsal_Fan-shaped_Body,111,121
Ensheathing_glia,779,729
FMRFa,27,17
G-KC,911,731
Gr43a,41,38
Hug,21,21
IPC,9,8
ITP,16,9
L1,53,31
L2,46,35
L3,53,48
L4/L5,81,82
Lamina_monopolar,170,137
Lawf1,122,124
Lawf2,96,77
LNv,13,28
lPN,5,9
lPN/CG31676,20,32
lPN/unpg,19,22
MBON,124,133
Mi1,320,242
Mip,386,428
Mip/ITP,6,3
Mip/OCT,17,9
Octopaminergic,43,33
Olfactory_projection_neurons,35,36
PAM,112,110
Peptidergic,64,91
Perineurial_glia,164,95
Photoreceptors,140,137
Plasmatocytes,215,114
Pm1/Pm2,620,542
Pm1/Pm2/Pm3,169,147
Pm3,47,35
Pm4,132,139
Poxn,44,55
Proc/Gpb5,31,21
Proc/Ms,32,39
Serotonergic,193,198
Subperineurial_glia,134,82
T1,249,179
T2,260,247
T3,309,162
T4/T5,318,330
Tm1/TmY8,178,147
Tm5ab,207,144
Tm5c,205,177
Tm9,123,106
TmY14,682,717
Tyraminergic,65,57
