ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	GeneRatio1	desp	module.id
GO:0006457	protein folding	0.833333333333333	125/12234	6.11617586324036e-10	9.72471962255217e-08	4.95732148915271e-08	DnaJ-1/Hsp23/Hsp26/Hsp68/Hsp83	5	5/6	protein folding	1
GO:0009408	response to heat	0.666666666666667	82/12234	2.78357916270417e-08	1.4556885135811e-06	7.42059023804997e-07	DnaJ-1/Hsp23/Hsp26/Hsp83	4	4/6	response to heat	1
GO:0009409	response to cold	0.5	16/12234	3.66210946812856e-08	1.4556885135811e-06	7.42059023804997e-07	Hsp23/Hsp26/Hsp83	3	3/6	response to cold	1
GO:0050821	protein stabilization	0.5	40/12234	6.43250524257078e-07	1.46109761938393e-05	7.44816396508195e-06	DnaJ-1/Hsp83/stv	3	3/6	protein stabilization	1
GO:0045597	positive regulation of cell differentiation	0.333333333333333	113/12234	0.00123810092726421	0.01514292672577	0.00771933371654609	DnaJ-1/Hsp83	2	2/6	positive regulation of cell differentiation	1
GO:0008340	determination of adult lifespan	0.333333333333333	168/12234	0.00271177082411378	0.0297640789605042	0.0151726850708959	Hsp26/Hsp68	2	2/6	determination of adult lifespan	1
GO:0010259	multicellular organism aging	0.333333333333333	171/12234	0.00280793197740606	0.0297640789605042	0.0151726850708959	Hsp26/Hsp68	2	2/6	multicellular organism aging	1
GO:0007568	aging	0.333333333333333	177/12234	0.00300508000331714	0.0298629825329641	0.0152231026483829	Hsp26/Hsp68	2	2/6	aging	1
GO:0042689	regulation of crystal cell differentiation	0.166666666666667	10/12234	0.00489535221211668	0.0457859412780325	0.0233400693704634	DnaJ-1	1	1/6	regulation of crystal cell differentiation	1
GO:0002181	cytoplasmic translation	0.928571428571429	133/12234	1.70160005549412e-129	5.53020018035589e-127	5.30182754132905e-127	eIF3m/RpL12/RpL13/RpL13A/RpL14/RpL17/RpL18/RpL18A/RpL21/RpL22/RpL23A/RpL26/RpL27/RpL27A/RpL28/RpL29/RpL3/RpL31/RpL32/RpL34b/RpL35/RpL35A/RpL36A/RpL38/RpL39/RpL4/RpL5/RpL6/RpL7/RpL7A/RpL8/RpL9/RpLP0/RpLP1/RpLP2/RpS10b/RpS11/RpS12/RpS13/RpS14a/RpS14b/RpS15/RpS15Aa/RpS16/RpS17/RpS19a/RpS2/RpS20/RpS21/RpS23/RpS24/RpS25/RpS26/RpS27A/RpS28b/RpS29/RpS3/RpS30/RpS3A/RpS4/RpS5a/RpS6/RpS8/RpS9/sta	65	65/70	cytoplasmic translation	2
GO:0042254	ribosome biogenesis	0.328571428571429	221/12234	2.15854275015943e-23	3.50763196900908e-21	3.36278238972207e-21	RpL14/RpL23A/RpL26/RpL3/RpL34b/RpL35/RpL35A/RpL5/RpL6/RpL7/RpL7A/RpLP0/RpS10b/RpS14a/RpS14b/RpS15/RpS16/RpS19a/RpS21/RpS28b/RpS5a/RpS8/sta	23	23/70	ribosome biogenesis	2
GO:0071826	ribonucleoprotein complex subunit organization	0.2	131/12234	1.49299437988514e-14	8.08705289104453e-13	7.75309362185969e-13	RpL23A/RpL3/RpL38/RpL5/RpL6/RpLP0/RpS10b/RpS14a/RpS14b/RpS15/RpS19a/RpS28b/RpS5a/sta	14	14/70	ribonucleoprotein complex subunit organization	2
GO:0006364	rRNA processing	0.128571428571429	149/12234	1.59888446138468e-07	4.72397681772746e-06	4.52889761310876e-06	RpL35/RpL7/RpL7A/RpS14a/RpS14b/RpS16/RpS21/RpS28b/RpS8	9	9/70	rRNA processing	2
GO:0046034	ATP metabolic process	0.702702702702703	159/12234	2.2574169201446e-84	9.00709351137693e-82	7.0573981608731e-82	ATPsynB/ATPsynC/ATPsynCF6/ATPsynD/ATPsyndelta/ATPsynE/ATPsynF/ATPsynG/ATPsyngamma/ATPsynO/blw/CG14757/COX4/COX5A/COX5B/COX7A/COX7C/cype/Cyt-c-p/Gapdh1/levy/ND-13B/ND-15/ND-19/ND-20/ND-24/ND-42/ND-49/ND-ACP/ND-ASHI/ND-B14/ND-B14.5A/ND-B14.5B/ND-B15/ND-B17/ND-B17.2/ND-B18/ND-B22/ND-MLRQ/ND-PDSW/ox/Pgk/RFeSP/SdhD/sesB/Tpi/UQCR-11/UQCR-14/UQCR-6.4/UQCR-C1/UQCR-C2/UQCR-Q	52	52/74	ATP metabolic process	3
GO:0022900	electron transport chain	0.540540540540541	97/12234	9.34415243016633e-68	1.86415840981818e-65	1.4606385640839e-65	blw/CG14757/COX4/COX5A/COX5B/COX7A/COX7C/cype/Cyt-c-p/levy/ND-13B/ND-15/ND-18/ND-19/ND-20/ND-24/ND-42/ND-49/ND-ACP/ND-ASHI/ND-B14/ND-B14.5A/ND-B14.5B/ND-B15/ND-B17/ND-B17.2/ND-B18/ND-B22/ND-MLRQ/ND-PDSW/NP15.6/ox/RFeSP/SdhD/UQCR-11/UQCR-14/UQCR-6.4/UQCR-C1/UQCR-C2/UQCR-Q	40	40/74	electron transport chain	3
GO:0006754	ATP biosynthetic process	0.162162162162162	26/12234	8.50164921073988e-21	2.82679836257101e-19	2.21490334700855e-19	ATPsynB/ATPsynC/ATPsynCF6/ATPsynD/ATPsyndelta/ATPsynE/ATPsynF/ATPsynG/ATPsyngamma/ATPsynO/blw/sesB	12	12/74	ATP biosynthetic process	3
GO:0015985	energy coupled proton transport, down electrochemical gradient	0.148648648648649	22/12234	1.2213472579359e-19	2.70731975509126e-18	2.12128734273078e-18	ATPsynB/ATPsynC/ATPsynCF6/ATPsynD/ATPsyndelta/ATPsynE/ATPsynF/ATPsynG/ATPsyngamma/ATPsynO/blw	11	11/74	energy coupled proton transport, down electrochemical gradient	3
GO:0007005	mitochondrion organization	0.121621621621622	231/12234	9.93077901539474e-06	7.76937417086765e-05	6.08759828188284e-05	CG14757/COX6B/COX7A/ND-18/ND-20/porin/QIL1/Tom20/UQCR-C1	9	9/74	mitochondrion organization	3
GO:0006090	pyruvate metabolic process	0.0540540540540541	46/12234	0.000166062040031015	0.00125016516929009	0.000979551656190892	Gapdh1/Pdha/Pgk/Tpi	4	4/74	pyruvate metabolic process	3
GO:0006979	response to oxidative stress	0.0675675675675676	141/12234	0.0016126327025216	0.0100537570047831	0.00787749856330453	ATPsynD/ND-20/ND-B14/ND-B17.2/sesB	5	5/74	response to oxidative stress	3
GO:0006094	gluconeogenesis	0.027027027027027	11/12234	0.00191634728683654	0.0114122771260863	0.00894195041933156	Pgk/Tpi	2	2/74	gluconeogenesis	3
GO:0019319	hexose biosynthetic process	0.027027027027027	11/12234	0.00191634728683654	0.0114122771260863	0.00894195041933156	Pgk/Tpi	2	2/74	hexose biosynthetic process	3
GO:0008340	determination of adult lifespan	0.0675675675675676	168/12234	0.00345473930632963	0.0196920140460789	0.0154294372027053	ATPsynD/levy/ND-20/sesB/Tpi	5	5/74	determination of adult lifespan	3
GO:1903578	regulation of ATP metabolic process	0.027027027027027	15/12234	0.00360165132918558	0.0202402659203528	0.0158590132656504	COX7A/sesB	2	2/74	regulation of ATP metabolic process	3
GO:0007568	aging	0.0675675675675676	177/12234	0.00431417057517154	0.0235801925958006	0.0184759720378651	ATPsynD/levy/ND-20/sesB/Tpi	5	5/74	aging	3
GO:0016052	carbohydrate catabolic process	0.0405405405405405	61/12234	0.00594698628054905	0.0308162016355723	0.0241456585826804	Gapdh1/Pgk/Tpi	3	3/74	carbohydrate catabolic process	3
GO:0055065	metal ion homeostasis	0.0540540540540541	135/12234	0.00899335844084496	0.0432331327457487	0.0338747933662772	CG14757/Cisd2/nrv3/sesB	4	4/74	metal ion homeostasis	3
GO:0006096	glycolytic process	0.192307692307692	28/12234	2.74122023742822e-09	4.74021895174347e-07	3.37097070322894e-07	Eno/Gapdh2/Pgi/Pglym78/PyK	5	5/26	glycolytic process	4
GO:0006757	ATP generation from ADP	0.192307692307692	28/12234	2.74122023742822e-09	4.74021895174347e-07	3.37097070322894e-07	Eno/Gapdh2/Pgi/Pglym78/PyK	5	5/26	ATP generation from ADP	4
GO:0009135	purine nucleoside diphosphate metabolic process	0.192307692307692	30/12234	3.96339377236076e-09	4.74021895174347e-07	3.37097070322894e-07	Eno/Gapdh2/Pgi/Pglym78/PyK	5	5/26	purine nucleoside diphosphate metabolic process	4
GO:0009179	purine ribonucleoside diphosphate metabolic process	0.192307692307692	30/12234	3.96339377236076e-09	4.74021895174347e-07	3.37097070322894e-07	Eno/Gapdh2/Pgi/Pglym78/PyK	5	5/26	purine ribonucleoside diphosphate metabolic process	4
GO:0046031	ADP metabolic process	0.192307692307692	30/12234	3.96339377236076e-09	4.74021895174347e-07	3.37097070322894e-07	Eno/Gapdh2/Pgi/Pglym78/PyK	5	5/26	ADP metabolic process	4
GO:1902600	proton transmembrane transport	0.230769230769231	68/12234	4.96616609177543e-09	4.77089815967138e-07	3.39278798892314e-07	Vha13/Vha14-1/Vha16-1/Vha36-1/Vha68-1/VhaAC39-1	6	6/26	proton transmembrane transport	4
GO:0046939	nucleotide phosphorylation	0.192307692307692	34/12234	7.69465190796679e-09	5.11266871218238e-07	3.63583552142524e-07	Eno/Gapdh2/Pgi/Pglym78/PyK	5	5/26	nucleotide phosphorylation	4
GO:0006090	pyruvate metabolic process	0.192307692307692	46/12234	3.72591853739997e-08	2.02554480487744e-06	1.44045080297568e-06	Eno/Gapdh2/Pgi/Pglym78/PyK	5	5/26	pyruvate metabolic process	4
GO:0016052	carbohydrate catabolic process	0.192307692307692	61/12234	1.58265659580363e-07	7.88690536908809e-06	5.60871284828655e-06	Eno/Gapdh2/Pgi/Pglym78/PyK	5	5/26	carbohydrate catabolic process	4
GO:0046034	ATP metabolic process	0.230769230769231	159/12234	8.14137844754538e-07	3.47753165116581e-05	2.47302022015664e-05	Eno/Gapdh2/Pgi/Pglym78/PyK/Vha68-1	6	6/26	ATP metabolic process	4
GO:0048878	chemical homeostasis	0.269230769230769	290/12234	1.74797013942194e-06	6.14874201984893e-05	4.37263118468398e-05	Eno/Gapdh2/Pgi/PyK/Vha16-1/Vha68-1/VhaAC39-1	7	7/26	chemical homeostasis	4
GO:0007035	vacuolar acidification	0.115384615384615	13/12234	2.40305165542676e-06	7.74723801463782e-05	5.50938947001176e-05	Vha16-1/Vha68-1/VhaAC39-1	3	3/26	vacuolar acidification	4
GO:0007268	chemical synaptic transmission	0.269230769230769	319/12234	3.29449833982395e-06	9.14267333440614e-05	6.50174269864475e-05	CaMKII/CG7781/gammaSnap1/nSyb/Sap47/shi/veli	7	7/26	chemical synaptic transmission	4
