from	to	edge
lncRNA:alphagamma-element:CR32865	DnaJ-1	1
lncRNA:alphagamma-element:CR32865	Hsp23	1
lncRNA:alphagamma-element:CR32865	Hsp26	1
lncRNA:alphagamma-element:CR32865	Hsp68	1
lncRNA:alphagamma-element:CR32865	Hsp83	1
lncRNA:alphagamma-element:CR32865	stv	1
DnaJ-1	Hsp23	1
DnaJ-1	Hsp26	1
DnaJ-1	Hsp68	1
DnaJ-1	Hsp83	1
DnaJ-1	stv	1
Hsp23	Hsp26	1
Hsp23	Hsp68	1
Hsp23	Hsp83	1
Hsp23	stv	1
Hsp26	Hsp68	1
Hsp26	Hsp83	1
Hsp26	stv	1
Hsp68	Hsp83	1
Hsp68	stv	1
Hsp83	stv	1
eEF1alpha1	RpL18A	1
eEF1alpha2	RpS28b	1
eIF3m	RpL21	1
eIF3m	RpL23A	1
eIF3m	RpL26	1
eIF3m	RpL8	1
eIF3m	RpS6	1
Rack1	RpL12	1
Rack1	RpL13	1
Rack1	RpL14	1
Rack1	RpL17	1
Rack1	RpL18	1
Rack1	RpL18A	1
Rack1	RpL21	1
Rack1	RpL23A	1
Rack1	RpL26	1
Rack1	RpL27	1
Rack1	RpL28	1
Rack1	RpL29	1
Rack1	RpL3	1
Rack1	RpL31	1
Rack1	RpL32	1
Rack1	RpL34b	1
Rack1	RpL35	1
Rack1	RpL4	1
Rack1	RpL5	1
Rack1	RpL6	1
Rack1	RpL7	1
Rack1	RpL7A	1
Rack1	RpL8	1
Rack1	RpL9	1
Rack1	RpS10b	1
Rack1	RpS11	1
Rack1	RpS12	1
Rack1	RpS14a	1
Rack1	RpS14b	1
Rack1	RpS15	1
Rack1	RpS15Aa	1
Rack1	RpS16	1
Rack1	RpS17	1
Rack1	RpS19a	1
Rack1	RpS2	1
Rack1	RpS21	1
Rack1	RpS23	1
Rack1	RpS24	1
Rack1	RpS27A	1
Rack1	RpS28b	1
Rack1	RpS29	1
Rack1	RpS3	1
Rack1	RpS30	1
Rack1	RpS4	1
Rack1	RpS5a	1
Rack1	RpS6	1
Rack1	RpS8	1
Rack1	RpS9	1
Rack1	sta	1
ringer	sta	1
RpL12	RpL13	1
RpL12	RpL13A	1
RpL12	RpL14	1
RpL12	RpL17	1
RpL12	RpL18	1
RpL12	RpL18A	1
RpL12	RpL21	1
RpL12	RpL23A	1
RpL12	RpL26	1
RpL12	RpL27	1
RpL12	RpL28	1
RpL12	RpL29	1
RpL12	RpL3	1
RpL12	RpL31	1
RpL12	RpL32	1
RpL12	RpL35	1
RpL12	RpL35A	1
RpL12	RpL39	1
RpL12	RpL4	1
RpL12	RpL5	1
RpL12	RpL6	1
RpL12	RpL7	1
RpL12	RpL7A	1
RpL12	RpL8	1
RpL12	RpL9	1
RpL12	RpLP1	1
RpL12	RpS10b	1
RpL12	RpS11	1
RpL12	RpS12	1
RpL12	RpS13	1
RpL12	RpS14a	1
RpL12	RpS15	1
RpL12	RpS15Aa	1
RpL12	RpS16	1
