module	gene	color	rgb
1	lncRNA:alphagamma-element:CR32865	#D16103FF	209-97-3
1	DnaJ-1	#D16103FF	209-97-3
1	Hsp23	#D16103FF	209-97-3
1	Hsp26	#D16103FF	209-97-3
1	Hsp68	#D16103FF	209-97-3
1	Hsp83	#D16103FF	209-97-3
1	stv	#D16103FF	209-97-3
2	eEF1alpha1	#FFDB6DFF	255-219-109
2	eEF1alpha2	#FFDB6DFF	255-219-109
2	eIF3m	#FFDB6DFF	255-219-109
2	Rack1	#FFDB6DFF	255-219-109
2	ringer	#FFDB6DFF	255-219-109
2	RpL12	#FFDB6DFF	255-219-109
2	RpL13	#FFDB6DFF	255-219-109
2	RpL13A	#FFDB6DFF	255-219-109
2	RpL14	#FFDB6DFF	255-219-109
2	RpL17	#FFDB6DFF	255-219-109
2	RpL18	#FFDB6DFF	255-219-109
2	RpL18A	#FFDB6DFF	255-219-109
2	RpL21	#FFDB6DFF	255-219-109
2	RpL22	#FFDB6DFF	255-219-109
2	RpL23A	#FFDB6DFF	255-219-109
2	RpL26	#FFDB6DFF	255-219-109
2	RpL27	#FFDB6DFF	255-219-109
2	RpL27A	#FFDB6DFF	255-219-109
2	RpL28	#FFDB6DFF	255-219-109
2	RpL29	#FFDB6DFF	255-219-109
2	RpL3	#FFDB6DFF	255-219-109
2	RpL31	#FFDB6DFF	255-219-109
2	RpL32	#FFDB6DFF	255-219-109
2	RpL34b	#FFDB6DFF	255-219-109
2	RpL35	#FFDB6DFF	255-219-109
2	RpL35A	#FFDB6DFF	255-219-109
2	RpL36A	#FFDB6DFF	255-219-109
2	RpL38	#FFDB6DFF	255-219-109
2	RpL39	#FFDB6DFF	255-219-109
2	RpL4	#FFDB6DFF	255-219-109
2	RpL5	#FFDB6DFF	255-219-109
2	RpL6	#FFDB6DFF	255-219-109
2	RpL7	#FFDB6DFF	255-219-109
2	RpL7A	#FFDB6DFF	255-219-109
2	RpL8	#FFDB6DFF	255-219-109
2	RpL9	#FFDB6DFF	255-219-109
2	RpLP0	#FFDB6DFF	255-219-109
2	RpLP1	#FFDB6DFF	255-219-109
2	RpLP2	#FFDB6DFF	255-219-109
2	RpS10b	#FFDB6DFF	255-219-109
2	RpS11	#FFDB6DFF	255-219-109
2	RpS12	#FFDB6DFF	255-219-109
2	RpS13	#FFDB6DFF	255-219-109
2	RpS14a	#FFDB6DFF	255-219-109
2	RpS14b	#FFDB6DFF	255-219-109
2	RpS15	#FFDB6DFF	255-219-109
2	RpS15Aa	#FFDB6DFF	255-219-109
2	RpS16	#FFDB6DFF	255-219-109
2	RpS17	#FFDB6DFF	255-219-109
2	RpS19a	#FFDB6DFF	255-219-109
2	RpS2	#FFDB6DFF	255-219-109
2	RpS20	#FFDB6DFF	255-219-109
2	RpS21	#FFDB6DFF	255-219-109
2	RpS23	#FFDB6DFF	255-219-109
2	RpS24	#FFDB6DFF	255-219-109
2	RpS25	#FFDB6DFF	255-219-109
2	RpS26	#FFDB6DFF	255-219-109
2	RpS27A	#FFDB6DFF	255-219-109
2	RpS28b	#FFDB6DFF	255-219-109
2	RpS29	#FFDB6DFF	255-219-109
2	RpS3	#FFDB6DFF	255-219-109
2	RpS30	#FFDB6DFF	255-219-109
2	RpS3A	#FFDB6DFF	255-219-109
