x
DnaJ-1 Hsp83
Rack1 RpL18
Rack1 RpL4
Rack1 RpS12
Rack1 RpS27A
Rack1 RpS6
RpL12 RpL13A
RpL12 RpL17
RpL12 RpL18A
RpL12 RpL21
RpL12 RpL26
RpL12 RpL27
RpL12 RpL28
RpL12 RpL29
RpL12 RpL31
RpL12 RpL32
RpL12 RpL39
RpL12 RpL6
RpL12 RpL7
RpL12 RpL7A
RpL12 RpL9
RpL12 RpLP1
RpL12 RpS10b
RpL12 RpS12
RpL12 RpS13
RpL12 RpS15
RpL12 RpS15Aa
RpL12 RpS16
RpL12 RpS17
RpL12 RpS2
RpL12 RpS20
RpL12 RpS21
RpL12 RpS23
RpL12 RpS24
RpL12 RpS26
RpL12 RpS27A
RpL12 RpS28b
RpL12 RpS29
RpL12 RpS30
RpL12 RpS3A
RpL12 RpS4
RpL12 RpS6
RpL12 RpS8
RpL12 RpS9
RpL12 sta
RpL13 RpL18
RpL13 RpL21
RpL13 RpL27A
RpL13 RpL28
RpL13 RpL7
RpL13 RpL9
RpL13 RpLP1
RpL13 RpS10b
RpL13 RpS11
RpL13 RpS15
RpL13 RpS15Aa
RpL13 RpS16
RpL13 RpS26
RpL13 RpS3
RpL13 RpS8
RpL13A RpL18A
RpL13A RpS15
RpL14 RpL18
RpL14 RpL21
RpL14 RpL23A
RpL14 RpL26
RpL14 RpL6
RpL14 RpL7
RpL14 RpL7A
RpL14 RpS12
RpL14 RpS15
RpL14 RpS15Aa
RpL14 RpS28b
RpL14 RpS6
RpL14 RpS8
RpL17 RpL18
RpL17 RpL21
RpL17 RpL31
RpL17 RpL35
RpL17 RpL6
RpL17 RpL7
RpL17 RpL7A
RpL17 RpL9
RpL17 RpS10b
RpL17 RpS12
RpL17 RpS15
RpL17 RpS16
RpL17 RpS17
RpL17 RpS28b
RpL17 RpS29
RpL17 RpS3
RpL17 RpS30
RpL17 sta
RpL18 RpL18A
RpL18 RpL21
RpL18 RpL23A
RpL18 RpL27
RpL18 RpL27A
RpL18 RpL31
RpL18 RpL32
RpL18 RpL34b
RpL18 RpL35
RpL18 RpL36A
RpL18 RpL5
RpL18 RpL6
RpL18 RpL7
RpL18 RpL8
RpL18 RpL9
RpL18 RpLP0
RpL18 RpLP1
RpL18 RpS10b
RpL18 RpS11
RpL18 RpS12
RpL18 RpS15
RpL18 RpS16
RpL18 RpS17
RpL18 RpS19a
RpL18 RpS20
RpL18 RpS21
RpL18 RpS23
RpL18 RpS26
RpL18 RpS28b
RpL18 RpS29
RpL18 RpS3
RpL18 RpS30
RpL18 RpS8
RpL18 RpS9
RpL18 sta
RpL18A RpL21
RpL18A RpL23A
RpL18A RpL26
RpL18A RpL27
RpL18A RpL28
RpL18A RpL31
RpL18A RpL32
RpL18A RpL35
RpL18A RpL6
RpL18A RpL7
RpL18A RpL7A
RpL18A RpL8
RpL18A RpLP0
RpL18A RpLP1
RpL18A RpLP2
RpL18A RpS10b
RpL18A RpS11
RpL18A RpS12
RpL18A RpS15
RpL18A RpS15Aa
RpL18A RpS16
RpL18A RpS17
RpL18A RpS19a
RpL18A RpS21
RpL18A RpS24
RpL18A RpS28b
RpL18A RpS29
RpL18A RpS3
RpL18A RpS4
RpL18A RpS8
RpL18A sta
RpL21 RpL23A
RpL21 RpL26
RpL21 RpL28
RpL21 RpL31
RpL21 RpL32
RpL21 RpL35
RpL21 RpL36A
RpL21 RpL6
RpL21 RpL7A
RpL21 RpLP1
RpL21 RpS10b
RpL21 RpS11
RpL21 RpS12
RpL21 RpS15
RpL21 RpS15Aa
RpL21 RpS16
RpL21 RpS17
RpL21 RpS20
RpL21 RpS21
RpL21 RpS23
RpL21 RpS26
RpL21 RpS28b
RpL21 RpS29
RpL21 RpS3
RpL21 RpS30
RpL21 RpS3A
RpL21 RpS8
RpL21 RpS9
RpL23A RpL27
RpL23A RpL27A
RpL23A RpL28
RpL23A RpL3
RpL23A RpL31
RpL23A RpL6
RpL23A RpL7
RpL23A RpL9
RpL23A RpLP0
RpL23A RpLP1
RpL23A RpS10b
RpL23A RpS15
RpL23A RpS16
RpL23A RpS20
RpL23A RpS29
RpL26 RpL27A
RpL26 RpL28
RpL26 RpL32
RpL26 RpL36A
RpL26 RpL6
RpL26 RpL7
RpL26 RpL9
RpL26 RpLP1
RpL26 RpS10b
RpL26 RpS12
RpL26 RpS14a
RpL26 RpS15
RpL26 RpS15Aa
RpL26 RpS16
RpL26 RpS17
RpL26 RpS19a
RpL26 RpS2
RpL26 RpS20
RpL26 RpS21
RpL26 RpS23
RpL26 RpS24
RpL26 RpS28b
RpL26 RpS29
RpL26 RpS30
RpL26 RpS4
RpL26 RpS8
RpL26 sta
RpL27 RpL27A
RpL27 RpL28
RpL27 RpL31
RpL27 RpL32
RpL27 RpL6
RpL27 RpL7
RpL27 RpL7A
RpL27 RpL9
RpL27 RpLP1
RpL27 RpS10b
RpL27 RpS12
RpL27 RpS15
RpL27 RpS17
RpL27 RpS19a
RpL27 RpS23
RpL27 RpS29
RpL27 RpS3
RpL27A RpL28
RpL27A RpL31
RpL27A RpL32
RpL27A RpL6
RpL27A RpL7
RpL27A RpL7A
RpL27A RpLP1
RpL27A RpS10b
RpL27A RpS11
RpL27A RpS12
RpL27A RpS15
RpL27A RpS16
RpL27A RpS21
RpL27A RpS26
RpL27A RpS28b
RpL27A RpS8
RpL28 RpL31
RpL28 RpL32
RpL28 RpL6
RpL28 RpL7
RpL28 RpL7A
RpL28 RpL8
RpL28 RpS10b
RpL28 RpS11
RpL28 RpS12
RpL28 RpS15
RpL28 RpS15Aa
RpL28 RpS16
RpL28 RpS21
RpL28 RpS24
RpL28 RpS28b
RpL28 RpS29
RpL28 RpS30
RpL28 RpS4
RpL28 RpS8
RpL28 RpS9
RpL29 RpL31
RpL29 RpL32
RpL29 RpL35
RpL29 RpS27A
RpL29 RpS28b
RpL29 RpS29
RpL3 RpL7
RpL3 RpL7A
RpL3 RpS12
RpL3 RpS4
RpL3 RpS9
RpL3 sta
RpL31 RpL32
RpL31 RpL4
RpL31 RpL6
RpL31 RpL7
RpL31 RpLP1
RpL31 RpS10b
RpL31 RpS12
RpL31 RpS15
RpL31 RpS15Aa
RpL31 RpS16
RpL31 RpS19a
RpL31 RpS2
RpL31 RpS20
RpL31 RpS21
RpL31 RpS28b
RpL31 RpS3
RpL31 RpS30
RpL31 RpS4
RpL31 RpS8
RpL31 sta
RpL32 RpL36A
RpL32 RpL4
RpL32 RpL5
RpL32 RpL6
RpL32 RpL7
RpL32 RpL7A
RpL32 RpL9
RpL32 RpLP0
RpL32 RpLP1
RpL32 RpS10b
RpL32 RpS11
RpL32 RpS15
RpL32 RpS15Aa
RpL32 RpS16
RpL32 RpS17
RpL32 RpS19a
RpL32 RpS2
RpL32 RpS20
RpL32 RpS21
RpL32 RpS23
RpL32 RpS26
RpL32 RpS28b
RpL32 RpS29
RpL32 RpS3
RpL32 RpS30
RpL32 RpS4
RpL32 RpS8
RpL32 sta
RpL34b RpS30
RpL35 RpL36A
RpL35 RpL6
RpL35 RpS10b
RpL35 RpS11
RpL35 RpS16
RpL35 RpS21
RpL35 RpS26
RpL35 RpS3
