# submitted_item	validated_id	current_symbol
128up	FBgn0010339	128up
14-3-3epsilon	FBgn0020238	14-3-3epsilon
14-3-3zeta	FBgn0004907	14-3-3zeta
140up	FBgn0010340	140up
18SrRNA-Psi:CR41602	FBgn0085813	18SrRNA-Psi:CR41602
18w	FBgn0287775	18w
26-29-p	FBgn0250848	26-29-p
28SrRNA-Psi:CR40596	FBgn0085753	28SrRNA-Psi:CR40596
28SrRNA-Psi:CR40741	FBgn0085771	28SrRNA-Psi:CR40741
28SrRNA-Psi:CR41609	FBgn0085819	28SrRNA-Psi:CR41609
28SrRNA-Psi:CR45848	FBgn0267508	28SrRNA-Psi:CR45848
28SrRNA-Psi:CR45851	FBgn0267511	28SrRNA-Psi:CR45851
28SrRNA-Psi:CR45853	FBgn0267513	28SrRNA-Psi:CR45853
28SrRNA-Psi:CR45855	FBgn0267515	28SrRNA-Psi:CR45855
28SrRNA-Psi:CR45859	FBgn0267519	28SrRNA-Psi:CR45859
28SrRNA-Psi:CR45860	FBgn0267520	28SrRNA-Psi:CR45860
2mit	FBgn0260793	2mit
312	FBcl0400892	312
312	FBal0268654	Nsf2[lotus-312]
312	FBgn0029514	CG9166
312	FBgn0262450	mir-312
4E-T	FBgn0052016	4E-T
5-HT1A	FBgn0004168	5-HT1A
5-HT1B	FBgn0263116	5-HT1B
5-HT2A	FBgn0087012	5-HT2A
5-HT2A	FBgn0004573	5-HT7
5-HT2B	FBgn0261929	5-HT2B
5-HT7	FBgn0004573	5-HT7
5.8SrRNA-Psi:CR45849	FBgn0267509	5.8SrRNA-Psi:CR45849
5.8SrRNA-Psi:CR45857	FBgn0267517	5.8SrRNA-Psi:CR45857
5.8SrRNA-Psi:CR45863	FBgn0267523	5.8SrRNA-Psi:CR45863
5PtaseI	FBgn0259178	5PtaseI
7B2	FBgn0041707	7B2
7B2	FBal0258425	Irbp[7B2]
A16	FBab0001868	Df(2L)pr-A16
A16	FBgn0028965	CG9933
A16	FBti0211924	P{Adh-lacZ.mut.Adh-lacZ.wt.loxP.FRT}A16
AANAT1	FBgn0287831	speck
AANATL2	FBgn0031791	AANATL2
ABCA	FBgn0031170	Abca3
ABCB7	FBgn0035244	ABCB7
ABCD	FBgn0031069	Abcd3
ABCD	FBgn0039890	Abcd1
ACC	FBgn0033246	ACC
ACXA	FBgn0040510	ACXA
ACXC	FBgn0040508	ACXC
ACXD	FBgn0040507	ACXD
ADD1	FBgn0026573	ADD1
ADPS	FBgn0033983	Agps
AGBE	FBgn0053138	AGBE
AGO1	FBgn0262739	AGO1
AGO1	FBgn0087035	AGO2
AGO2	FBgn0087035	AGO2
AGO3	FBgn0250816	AGO3
AIF	FBgn0031392	AIF
AIMP1	FBgn0033351	AIMP1
AIMP2	FBgn0036515	AIMP2
AIMP3	FBgn0050185	AIMP3
ALiX	FBgn0086346	ALiX
AMPKalpha	FBgn0023169	AMPKalpha
AMPdeam	FBgn0052626	AMPdeam
AOX1	FBgn0267408	AOX1
AOX2	FBgn0038348	AOX2
AOX3	FBgn0038349	AOX3
AOX4	FBgn0038350	AOX4
AP-1-2beta	FBgn0010380	AP-1-2beta
AP-1gamma	FBgn0030089	AP-1gamma
AP-1mu	FBgn0024833	AP-1mu
AP-1sigma	FBgn0039132	AP-1sigma
AP-2alpha	FBgn0264855	AP-2alpha
AP-2alpha	FBgn0261953	TfAP-2
AP-2mu	FBgn0263351	AP-2mu
AP-2sigma	FBgn0043012	AP-2sigma
AP-2sigma	FBal0131822	AP-2sigma[KG02457]
APC10	FBgn0034231	APC10
APC4	FBgn0052707	APC4
APC7	FBgn0029879	APC7
APP-BP1	FBgn0261112	APP-BP1
AQP	FBgn0033807	AQP
ASPP	FBgn0034606	ASPP
ATP6AP2	FBgn0037671	ATP6AP2
ATP7	FBgn0030343	ATP7
ATP8A	FBgn0259221	ATP8A
ATP8B	FBgn0037989	ATP8B
