from,to,edge
AGO3,RapGAP1,1
AGO3,luna,1
AnxB9,Frl,1
Argk1,Ogdh,1
Argk1,lncRNA:CR43459,1
Argk1,tmod,1
Atf3,Csk,1
Atf3,Nrg,1
Atf3,raw,1
Atpalpha,CG10077,1
Atpalpha,bol,1
Atpalpha,cdi,1
Atpalpha,lncRNA:CR43459,1
Atpalpha,pan,1
CG17684,CG41378,1
CG17684,Pli,1
CG17839,CG9628,1
CG17839,Eip93F,1
CG17839,cpo,1
CG17839,ed,1
CG17839,lncRNA:CR46006,1
CG17839,vvl,1
CG30015,Drak,1
CG31712,pan,1
CG32066,luna,1
CG32264,CG9932,1
CG32264,Pdp1,1
CG32264,Prosap,1
CG3961,Gdap2,1
CG41378,Gprk1,1
CG41378,MFS17,1
CG41378,Parp,1
CG41378,Pli,1
CG42238,Dbp80,1
CG42238,Gprk1,1
CG42238,Parp,1
CG42238,sdk,1
CG42663,Pli,1
CG42663,kuz,1
CG42663,msn,1
CG42663,sdk,1
CG42663,zip,1
CG42674,lncRNA:let7C,1
CG45050,lncRNA:CR43459,1
CG5151,CG9932,1
CG5151,Drak,1
CG6959,Drak,1
CG6959,Dys,1
CG6959,caps,1
CG6959,ed,1
CG6959,kek5,1
CG9628,cpo,1
CG9628,lncRNA:CR46006,1
CG9932,CLIP-190,1
CG9932,Cad87A,1
CG9932,Drak,1
CG9932,Eip75B,1
CG9932,Eip93F,1
CG9932,Nrg,1
CG9932,Prosap,1
CG9932,Syp,1
CG9932,cnc,1
CG9932,kek5,1
CG9932,lncRNA:CR45054,1
CG9932,lncRNA:let7C,1
CG9932,luna,1
CG9932,mtgo,1
CG9932,ps,1
CG9932,sick,1
CNBP,RpL39,1
CNBP,RpS18,1
CNBP,RpS7,1
CaMKII,Nuak,1
Cad87A,ed,1
Cip4,luna,1
Cirl,nmo,1
Cyp1,RpL38,1
Cyp1,RpL39,1
DIP-lambda,lovit,1
DOR,KrT95D,1
DOR,Svil,1
DOR,mub,1
Dbp80,Gprk1,1
Dbp80,Haspin,1
Dbp80,MFS17,1
Dbp80,Parp,1
Dbp80,RhoGAP19D,1
Dbp80,RpL14,1
Dbp80,RpL41,1
Dbp80,l(3)80Fj,1
Dbp80,rl,1
Dbp80,spen,1
Dbp80,tai,1
DnaJ-1,Hsp83,1
DnaJ-1,lncRNA:alphagamma-element:CR32865,1
DnaJ-1,stv,1
Drak,Dys,1
Drak,Eip93F,1
Drak,Prosap,1
Drak,RapGAP1,1
Drak,Smr,1
Drak,ed,1
Drak,jing,1
Drak,kek5,1
Drak,l(3)80Fj,1
Drak,lncRNA:CR34335,1
Drak,luna,1
Drak,siz,1
Dys,Fas2,1
Dys,Prosap,1
Dys,ed,1
Dys,kek5,1
Dys,kuz,1
Dys,lovit,1
Dys,luna,1
Dys,sdk,1
Eip63E,Pli,1
Eip75B,Glut4EF,1
Eip75B,Snoo,1
Eip93F,Prosap,1
Eip93F,RapGAP1,1
Eip93F,Syp,1
Eip93F,Wdr62,1
Eip93F,caps,1
Eip93F,cnc,1
Eip93F,lncRNA:CR46006,1
Eip93F,par-1,1
Eip93F,shot,1
Eip93F,stv,1
Eip93F,vvl,1
Evi5,kuz,1
Fas1,luna,1
Fas2,Prosap,1
Fas2,ed,1
Fas2,sick,1
Frl,luna,1
Glut4EF,lncRNA:CR42862,1
Glut4EF,ps,1
Gprk1,Haspin,1
Gprk1,MFS17,1
Gprk1,Parp,1
Gprk1,Pli,1
Gprk1,hdc,1
Gprk1,hfp,1
Gprk1,kuz,1
Gprk1,lola,1
Gprk1,pum,1
Gprk1,spen,1
Haspin,MFS17,1
Haspin,Parp,1
HnRNP-K,kuz,1
Hsp83,lncRNA:alphagamma-element:CR32865,1
Hsp83,stv,1
Imp,ed,1
Imp,sdk,1
KrT95D,Svil,1
KrT95D,bol,1
KrT95D,cdi,1
MFS17,Parp,1
MFS17,Pli,1
MFS17,br,1
MFS17,sd,1
MFS17,su(w[a]),1
MFS17,tai,1
Mef2,mub,1
Mical,Pax,1
Mrtf,Nuak,1
Mrtf,Tm1,1
Mrtf,dlg1,1
