from,to,edge
G9a,lncRNA:CR34335,1
G9a,dtn,1
G9a,CanA-14F,1
G9a,RSG7,1
G9a,Rbp9,1
G9a,CG4467,1
svr,brat,1
svr,jeb,1
svr,Ppcs,1
elav,Appl,1
elav,Adar,1
elav,csw,1
elav,dnc,1
elav,lncRNA:CR34335,1
elav,lncRNA:roX1,1
elav,ctp,1
elav,CG32767,1
elav,SK,1
elav,dtn,1
elav,Sxl,1
elav,mahe,1
elav,fs(1)h,1
elav,mei-P26,1
elav,Ptpmeg2,1
elav,nej,1
elav,nocte,1
elav,CG43901,1
elav,Atx2,1
elav,fne,1
elav,HDAC4,1
elav,NetB,1
elav,GÎ²13F,1
elav,Lrp4,1
elav,mmd,1
elav,para,1
elav,CanA-14F,1
elav,RSG7,1
elav,RhoGAPp190,1
elav,Sh,1
elav,CG42450,1
elav,Dora,1
elav,Hers,1
elav,bves,1
elav,tty,1
elav,spen,1
elav,kis,1
elav,Plc21C,1
elav,IA-2,1
elav,RFeSP,1
elav,Eno,1
elav,Syt1,1
elav,Rbp9,1
elav,Chd1,1
elav,toc,1
elav,smog,1
elav,Hrb27C,1
elav,Sema1a,1
elav,Nckx30C,1
elav,RpS2,1
elav,bun,1
elav,hbt,1
elav,stol,1
elav,CadN,1
elav,brat,1
elav,Dap160,1
elav,CG2225,1
elav,rl,1
elav,Gprk1,1
elav,dpr12,1
elav,wech,1
elav,Cirl,1
elav,brp,1
elav,Pka-R2,1
elav,GÎ±o,1
elav,Rab3,1
elav,GÎ±q,1
elav,AGO1,1
elav,chn,1
elav,Khc-73,1
elav,RpS15,1
elav,Alk,1
elav,sm,1
elav,PIP5K59B,1
elav,ATPsynF,1
elav,Mid1,1
elav,E(bx),1
elav,Hipk,1
elav,Glut1,1
elav,Fife,1
elav,CG12605,1
elav,sif,1
elav,Tnpo,1
elav,dikar,1
elav,CG10077,1
elav,Dscam2,1
elav,Ank2,1
elav,Pdp1,1
elav,Gug,1
