from,to,edge
14-3-3epsilon,7B2,1
14-3-3epsilon,Act5C,1
14-3-3epsilon,amon,1
14-3-3epsilon,Appl,1
14-3-3epsilon,Cals,1
14-3-3epsilon,CG12038,1
14-3-3epsilon,CG15628,1
14-3-3epsilon,CG2269,1
14-3-3epsilon,CG2852,1
14-3-3epsilon,CG30172,1
14-3-3epsilon,CG32809,1
14-3-3epsilon,CG43324,1
14-3-3epsilon,CG7646,1
14-3-3epsilon,lncRNA:CR31451,1
14-3-3epsilon,Df31,1
14-3-3epsilon,fax,1
14-3-3epsilon,Fkbp12,1
14-3-3epsilon,Gbeta13F,1
14-3-3epsilon,IA-2,1
14-3-3epsilon,kri,1
14-3-3epsilon,miple1,1
14-3-3epsilon,nAChRalpha6,1
14-3-3epsilon,Nlp,1
14-3-3epsilon,Pdp1,1
14-3-3epsilon,Ric,1
14-3-3epsilon,tutl,1
14-3-3zeta,5PtaseI,1
14-3-3zeta,7B2,1
14-3-3zeta,Ac3,1
14-3-3zeta,AdipoR,1
14-3-3zeta,AdSS,1
14-3-3zeta,AIMP3,1
14-3-3zeta,alc,1
14-3-3zeta,alphaSnap,1
14-3-3zeta,amon,1
14-3-3zeta,Ank2,1
14-3-3zeta,AP-1-2beta,1
14-3-3zeta,AP-2sigma,1
14-3-3zeta,Arf102F,1
14-3-3zeta,arm,1
14-3-3zeta,Atg8a,1
14-3-3zeta,ATPsynC,1
14-3-3zeta,ATPsynD,1
14-3-3zeta,ATPsynO,1
14-3-3zeta,Bacc,1
14-3-3zeta,Bgb,1
14-3-3zeta,BI-1,1
14-3-3zeta,blw,1
14-3-3zeta,CaMKII,1
14-3-3zeta,CanB,1
14-3-3zeta,Cbp53E,1
14-3-3zeta,CD98hc,1
14-3-3zeta,Cds,1
14-3-3zeta,CG10077,1
14-3-3zeta,CG10340,1
14-3-3zeta,CG11099,1
14-3-3zeta,CG11658,1
14-3-3zeta,CG12194,1
14-3-3zeta,CG12605,1
14-3-3zeta,CG1265,1
14-3-3zeta,CG13585,1
14-3-3zeta,jus,1
14-3-3zeta,CG14767,1
14-3-3zeta,Ypel,1
14-3-3zeta,CG15628,1
14-3-3zeta,CG15772,1
14-3-3zeta,CG16935,1
14-3-3zeta,CG1695,1
14-3-3zeta,CG17272,1
