ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	GeneRatio1	desp	module.id
GO:0099537	trans-synaptic signaling	0.213930348258706	320/12234	2.02392644562043e-27	3.04398537421313e-24	2.17092741903918e-24	Ace/Alk/alphaSnap/BicD/brp/Ca-beta/Cadps/Cals/CanB/CASK/CG6329/cpo/cpx/dlg1/Frq1/GluClalpha/Ih/inaE/jeb/mAChR-A/nAChRalpha1/nAChRalpha6/nAChRalpha7/nAChRbeta1/NFAT/Nlg2/Nlg3/Nrx-1/nwk/Plc21C/pum/qvr/Rap1/Rdl/Rim/Syt1/Syt4/Ten-a/Tomosyn/unc-13/Vap33/VGlut/X11Lbeta	43	43/201	trans-synaptic signaling	1
GO:0034330	cell junction organization	0.208955223880597	367/12234	5.76684078883902e-24	1.73466570928278e-21	1.2371391081741e-21	aPKC/Appl/brp/Ca-beta/Cals/CASK/Lrp4/cindr/cpx/dlg1/dpr12/dpr14/dpr21/dpr6/dpr7/dpr8/dpr9/Frq1/Galphao/jeb/kis/Liprin-gamma/Mmp2/Nlg2/Nlg3/nmo/Nrx-1/nwk/pros/pum/Rap1/RhoGAP100F/Sdc/Sema1a/shakB/Spn/stau/Syn1/Ten-a/unc-104/unc-13/Vap33	42	42/201	cell junction organization	1
GO:0050804	modulation of chemical synaptic transmission	0.119402985074627	142/12234	6.46466690467759e-18	1.21535737807939e-15	8.6677573366664e-16	Alk/BicD/brp/Cals/CASK/CG6329/cpx/Frq1/Ih/jeb/NFAT/Nlg2/Nlg3/Nrx-1/Plc21C/pum/qvr/Rap1/Rdl/Rim/Syt1/Syt4/Tomosyn/VGlut	24	24/201	modulation of chemical synaptic transmission	1
GO:0099177	regulation of trans-synaptic signaling	0.119402985074627	142/12234	6.46466690467759e-18	1.21535737807939e-15	8.6677573366664e-16	Alk/BicD/brp/Cals/CASK/CG6329/cpx/Frq1/Ih/jeb/NFAT/Nlg2/Nlg3/Nrx-1/Plc21C/pum/qvr/Rap1/Rdl/Rim/Syt1/Syt4/Tomosyn/VGlut	24	24/201	regulation of trans-synaptic signaling	1
GO:0034329	cell junction assembly	0.129353233830846	229/12234	5.76299600829824e-15	9.63060666275616e-13	6.86841278649813e-13	aPKC/Cals/CASK/cindr/cpx/dlg1/Galphao/jeb/kis/Liprin-gamma/Nlg2/Nlg3/nmo/Nrx-1/nwk/pros/pum/Rap1/Sdc/Sema1a/shakB/Spn/stau/Syn1/Ten-a/unc-104	26	26/201	cell junction assembly	1
GO:0007416	synapse assembly	0.114427860696517	174/12234	8.57937700125128e-15	1.19496692357833e-12	8.52233549220551e-13	aPKC/Cals/CASK/cpx/dlg1/Galphao/jeb/kis/Liprin-gamma/Nlg2/Nlg3/nmo/Nrx-1/nwk/pros/pum/Sdc/Sema1a/Spn/stau/Syn1/Ten-a/unc-104	23	23/201	synapse assembly	1
GO:0023061	signal release	0.104477611940299	139/12234	8.73978468042665e-15	1.19496692357833e-12	8.52233549220551e-13	alphaSnap/BicD/brp/Cadps/CanB/CASK/cpx/Flo2/Frq1/Glut1/Ih/NFAT/PsGEF/Rap1/Rim/Syt1/Syt4/Tomosyn/unc-104/unc-13/Vap33	21	21/201	signal release	1
GO:0001505	regulation of neurotransmitter levels	0.0945273631840796	110/12234	1.38690446769941e-14	1.73825359951659e-12	1.23969794086464e-12	Ace/alphaSnap/BicD/brp/Cadps/CanB/CASK/cpx/Frq1/Ih/inaE/NFAT/Rap1/Rim/Syt1/Syt4/Tomosyn/unc-13/Vap33	19	19/201	regulation of neurotransmitter levels	1
GO:0006836	neurotransmitter transport	0.0995024875621891	128/12234	2.015958720244e-14	2.33230916557459e-12	1.66336998860618e-12	alphaSnap/BicD/brp/Cadps/CanB/CASK/CG10804/CG43066/cpx/Frq1/Ih/NFAT/Rap1/Rim/Syt1/Syt4/Tomosyn/unc-13/Vap33/VGlut	20	20/201	neurotransmitter transport	1
GO:0051049	regulation of transport	0.139303482587065	293/12234	4.02632170555383e-14	4.32541988939497e-12	3.0848284345559e-12	BicD/Ca-beta/Cadps/CASK/CG6329/cindr/cpx/Flo2/Frq1/Glut1/IA-2/Ih/klar/NFAT/Nrx-1/Pde6/Pkc53E/PsGEF/qvr/Rab26/Rap1/Syt1/Syt4/Teh1/Teh2/tipE/Tomosyn/unc-104	28	28/201	regulation of transport	1
GO:0007269	neurotransmitter secretion	0.0845771144278607	99/12234	3.97495546419056e-13	3.32129612119033e-11	2.36870153100011e-11	alphaSnap/BicD/brp/Cadps/CanB/CASK/cpx/Frq1/Ih/NFAT/Rap1/Rim/Syt1/Syt4/Tomosyn/unc-13/Vap33	17	17/201	neurotransmitter secretion	1
GO:0099003	vesicle-mediated transport in synapse	0.0845771144278607	112/12234	3.21083378521283e-12	2.19504273316368e-10	1.56547350580473e-10	alphaSnap/BicD/Cadps/CASK/cpx/NFAT/Nlg2/Nlg3/Nrx-1/Rap1/Rim/Syt1/Syt4/Tomosyn/unc-13/Vap33/VGlut	17	17/201	vesicle-mediated transport in synapse	1
GO:0099504	synaptic vesicle cycle	0.0845771144278607	112/12234	3.21083378521283e-12	2.19504273316368e-10	1.56547350580473e-10	alphaSnap/BicD/Cadps/CASK/cpx/NFAT/Nlg2/Nlg3/Nrx-1/Rap1/Rim/Syt1/Syt4/Tomosyn/unc-13/Vap33/VGlut	17	17/201	synaptic vesicle cycle	1
GO:0046903	secretion	0.114427860696517	253/12234	2.5005210500477e-11	1.42807533618396e-09	1.01848317999122e-09	alphaSnap/BicD/brp/Cadps/CanB/CASK/cpx/Flo2/Frq1/Glut1/IA-2/Ih/NFAT/PsGEF/Rab26/Rap1/Rim/Syt1/Syt4/Tomosyn/unc-104/unc-13/Vap33	23	23/201	secretion	1
