gene	module
Ac3	1
AcCoAS	1
Ace	1
Alk	1
alphaSnap	1
aPKC	1
Appl	1
Atox1	1
ATPCL	1
beat-IIIb	1
BicD	1
bol	1
brp	1
Ca-alpha1D	1
Ca-beta	1
CadN	1
Cadps	1
Cals	1
CaMKI	1
Camta	1
CanA-14F	1
CanB	1
CASK	1
CG10804	1
CG11000	1
Pits	1
Dpp10	1
PAN3	1
CG12025	1
CG12071	1
CG12531	1
CG13917	1
CG13928	1
jus	1
CG14762	1
CG15628	1
CG15765	1
CG16779	1
aus	1
CG17202	1
CG17816	1
CG2258	1
CG2993	1
CG30116	1
CG31221	1
CG31324	1
CG31688	1
CG32017	1
CG32206	1
CG32264	1
CG32432	1
CG32544	1
CG32647	1
CG32700	1
CG32809	1
CG33543	1
side-VI	1
Dora	1
l(3)80Fg	1
CG40498	1
CG42260	1
CG42268	1
CG4230	1
CG42340	1
CG42392	1
OtopLa	1
CG42540	1
CG42541	1
CG42668	1
CG42750	1
CG42795	1
CG43066	1
Stacl	1
CG43737	1
CG43867	1
CG4467	1
CG4577	1
stol	1
CG4612	1
CG5890	1
loaf	1
CG6044	1
CG6329	1
CG7029	1
CG7646	1
Srrm234	1
CG7990	1
CG8500	1
Lrp4	1
cindr	1
Cngl	1
Con	1
Corin	1
Cow	1
cpo	1
cpx	1
lncRNA:CR31451	1
lncRNA:CR45054	1
Dhit	1
dlg1	1
Dop2R	1
DopEcR	1
dpr12	1
dpr14	1
dpr21	1
dpr6	1
dpr7	1
dpr8	1
dpr9	1
Dscam2	1
Dscam4	1
dtn	1
eIF4EHP	1
enc	1
Evi5	1
fend	1
Flo2	1
Frl	1
Frq1	1
GABA-B-R1	1
Galphao	1
Gfrl	1
Ggamma30A	1
GluClalpha	1
Glut1	1
Hasp	1
heph	1
Hipk	1
Hs3st-A	1
hth	1
hwt	1
IA-2	1
Ih	1
inaE	1
jeb	1
jef	1
Jupiter	1
kek1	1
kis	1
klar	1
Ktl	1
l(3)02640	1
l(3)neo38	1
lgs	1
Liprin-gamma	1
LTV1	1
mAChR-A	1
mamo	1
mei-P26	1
Mid1	1
miple1	1
mmd	1
Mmp2	1
msi	1
mspo	1
mub	1
mura	1
nAChRalpha1	1
nAChRalpha6	1
nAChRalpha7	1
nAChRbeta1	1
NaCP60E	1
NaPi-III	1
Nca	1
Nckx30C	1
NFAT	1
Nlg2	1
Nlg3	1
nmo	1
nrv3	1
Nrx-1	1
nwk	1
onecut	1
Pdcd4	1
Pde6	1
Pde9	1
Pdp1	1
Pitslre	1
Pkc53E	1
Plc21C	1
pros	1
ps	1
PsGEF	1
Ptp99A	1
pum	1
Pvf3	1
qvr	1
Rab26	1
Rap1	1
Rbfox1	1
Rbp6	1
Rbp9	1
Rdl	1
Reph	1
RhoGAP100F	1
RhoGAP71E	1
RhoGAP93B	1
RhoGAPp190	1
Rim	1
RSG7	1
Rtnl1	1
Scgbeta	1
Sdc	1
Sema1a	1
SF2	1
shakB	1
shep	1
slgA	1
smog	1
Spn	1
SPoCk	1
St3	1
stau	1
Syn1	1
Syt1	1
Syt4	1
Teh1	1
Teh2	1
Ten-a	1
Tet	1
tipE	1
tna	1
Tob	1
Tomosyn	1
Tsp97E	1
ttv	1
tty	1
tutl	1
unc-104	1
unc-119	1
unc-13	1
unc79	1
Vap33	1
VGlut	1
wech	1
X11Lbeta	1
Ythdc1	1
14-3-3epsilon	2
7B2	2
Alg-2	2
amon	2
Arf79F	2
Bacc	2
boca	2
CG10098	2
CG11151	2
CG12038	2
CG12194	2
CG13551	2
CG17841	2
CG1927	2
CG2269	2
CG2852	2
CG30172	2
CG30389	2
CG31064	2
CG31140	2
CG3257	2
CG3262	2
CG33129	2
CG3566	2
CG42336	2
mtgo	2
CG42748	2
CG43324	2
CG46280	2
CG4658	2
CG5027	2
CG5174	2
CG5532	2
CG7484	2
Ciz1	2
ReepB	2
CG8726	2
CG8860	2
CG9132	2
CG9391	2
CG9646	2
CG9919	2
CDC50	2
Cirl	2
Cnx99A	2
Cp1	2
CtsB	2
Dad1	2
Desat1	2
Df31	2
dpr19	2
E2f1	2
eca	2
eEF1delta	2
eEF5	2
ERp60	2
fax	2
Fer1HCH	2
Fer2LCH	2
Flo1	2
Galphas	2
Gbeta13F	2
Gdi	2
His3.3B	2
Klp64D	2
Kdm5	2
loqs	2
Lpin	2
Manf	2
Mob4	2
Nedd8	2
Nf1	2
Nlp	2
Nmda1	2
Non2	2
NUCB1	2
Pal2	2
Pcd	2
Pdi	2
PlexA	2
pnut	2
poly	2
Prosbeta2	2
Ptpmeg2	2
Rab11	2
Ric	2
Rpt1	2
Scamp	2
Sec61gamma	2
Septin2	2
Smox	2
Spase12	2
Spase22-23	2
Spase25	2
Spred	2
svr	2
Swip-1	2
Taf10b	2
Tm1	2
tow	2
twr	2
Uev1A	2
vsg	2
Xbp1	2
mAcon1	3
Acsl	3
Acyp2	3
Adk3	3
Alas	3
alphaTub84D	3
AnxB10	3
AP-1sigma	3
AP-2sigma	3
Argk1	3
Arpc3A	3
ATPsynB	3
ATPsynC	3
ATPsynCF6	3
ATPsynD	3
ATPsyndelta	3
ATPsynE	3
ATPsynF	3
ATPsynG	3
ATPsyngamma	3
ATPsynO	3
Baldspot	3
Bet5	3
blw	3
bonsai	3
bsk	3
Cbp20	3
Cchl	3
Ccm3	3
CG10075	3
CG10214	3
CG10340	3
CG10561	3
nebu	3
CG11035	3
CG11076	3
CG11267	3
Xxylt	3
CG11699	3
CG11722	3
CG11752	3
EMC6	3
Pdhb	3
CG12084	3
CG12091	3
Nfs1	3
CG12279	3
CG1265	3
CG12848	3
CG12895	3
CG1307	3
CG13220	3
CG13365	3
CG13601	3
CG13623	3
CG13751	3
CG13868	3
CG14407	3
CG14483	3
CG14721	3
CG14757	3
CG14777	3
Coa8	3
CG14817	3
CG14818	3
CG15432	3
CG15456	3
CG15771	3
CG15891	3
CG15908	3
CG15916	3
CG15922	3
CG1598	3
CG1640	3
p23	3
CG16935	3
CG16986	3
CG17385	3
CG17493	3
CG17593	3
CG17698	3
CG17734	3
CG17776	3
CG17996	3
Nt5c	3
CG18508	3
CG18549	3
Apt1	3
CG1907	3
CG2076	3
Stoml2	3
CG30373	3
CG3061	3
CG31229	3
CG31637	3
CG31800	3
CG32267	3
CG32278	3
CG32369	3
CG32425	3
CG32448	3
CG32767	3
CG33199	3
CG34117	3
CG34132	3
CG34150	3
CG34200	3
CG34228	3
CG34229	3
CG34250	3
CG3556	3
CG3719	3
CG41128	3
CG42376	3
CG42813	3
CG44242	3
CG4686	3
Chchd2	3
CG5028	3
Cox10	3
ClpP	3
CG5065	3
CG5214	3
CG5569	3
CG5676	3
Mic26-27	3
CG5946	3
CG6115	3
CG6180	3
CG6330	3
Afg3l2	3
CG6523	3
CG6878	3
CG7382	3
CG7394	3
CG7430	3
CG7506	3
CG7630	3
CG7920	3
CG7943	3
CG8004	3
CG8187	3
CG8206	3
CG8229	3
CG8245	3
CG8360	3
Naa80	3
CG8818	3
CG8993	3
CG9034	3
Cox17	3
CG9231	3
CG9399	3
CG9921	3
Chchd3	3
Cisd2	3
comt	3
Coq7	3
COX4	3
COX5A	3
COX5B	3
COX6B	3
COX7A	3
COX7C	3
COX8	3
hpRNA:CR18854	3
CR41597	3
lncRNA:CR42862	3
CRIF	3
cype	3
Cyt-c-p	3
Dap160	3
DCTN6-p27	3
Dic1	3
dj-1beta	3
DnaJ-H	3
Droj2	3
Drp1	3
eIF1A	3
eIF2alpha	3
eIF3g1	3
elm	3
EMRE	3
EndoB	3
epsilonCOP	3
e(r)	3
Fdx1	3
Fdx2	3
Fie	3
Fkbp59	3
Gabat	3
GABPI	3
galla-1	3
galla-2	3
Gpdh1	3
Gpo1	3
Gs1	3
Gs1l	3
Hex-A	3
hfp	3
Hsc70-5	3
Hsp60A	3
I-2	3
Idh3b	3
Ip259	3
IscU	3
Jwa	3
kdn	3
Idh3a	3
Fum1	3
Pdha	3
l(2)37Cc	3
l(2)k09913	3
l(2)k14505	3
l(3)87Df	3
l(3)neo43	3
La	3
levy	3
Lis-1	3
MagR	3
Marf	3
Mdh1	3
mEFTs	3
mEFTu1	3
Men-b	3
mge	3
Miro	3
Mitofilin	3
Mpcp2	3
mRpL1	3
mRpL10	3
mRpL12	3
mRpL13	3
mRpL14	3
mRpL16	3
mRpL17	3
