from	to	edge
Ac3	Alk	1
Ac3	CanB	1
Ac3	CG12531	1
Ac3	Lrp4	1
Ac3	Cow	1
Ac3	dpr21	1
Ac3	Galphao	1
Ac3	GluClalpha	1
Ac3	Hasp	1
Ac3	jef	1
Ac3	Nlg2	1
Ac3	Tsp97E	1
Ac3	unc-104	1
Ac3	CG2269	1
Ac3	CG30172	1
Ac3	CG31140	1
Ac3	CG43324	1
Ac3	fax	1
Ac3	CG1265	1
Ac3	mRpS28	1
Ac3	14-3-3zeta	1
Ac3	CG12004	1
Ac3	CG1695	1
Ac3	CG42361	1
Ac3	CG7407	1
Ac3	Gbeta5	1
Ac3	Gycalpha99B	1
Ac3	igl	1
Ac3	jim	1
Ac3	Mlf	1
Ac3	Rab3	1
Ac3	Vha68-1	1
Ac3	chinmo	1
AcCoAS	ATPCL	1
AcCoAS	CG14762	1
AcCoAS	CG31221	1
AcCoAS	jeb	1
AcCoAS	CG12194	1
AcCoAS	Scsalpha1	1
AcCoAS	ScsbetaA	1
AcCoAS	CG32485	1
AcCoAS	Ae2	1
AcCoAS	Kank	1
AcCoAS	Vha100-1	1
AcCoAS	Vha68-1	1
Ace	Camta	1
Ace	CG10804	1
Ace	CG11000	1
Ace	jus	1
Ace	CG14762	1
Ace	CG16779	1
Ace	CG31221	1
Ace	CG32017	1
Ace	CG43066	1
Ace	stol	1
Ace	cpo	1
Ace	cpx	1
Ace	lncRNA:CR31451	1
Ace	fend	1
Ace	Ggamma30A	1
Ace	heph	1
Ace	Hs3st-A	1
Ace	Ih	1
Ace	jeb	1
Ace	Ktl	1
Ace	nAChRalpha7	1
Ace	Nckx30C	1
Ace	ps	1
Ace	qvr	1
Ace	Rbp6	1
Ace	Rdl	1
Ace	slgA	1
Ace	Syt1	1
Ace	VGlut	1
Ace	CG31140	1
Ace	Atpalpha	1
Ace	Cbp53E	1
Ace	CG14989	1
Ace	futsch	1
Ace	Ggamma1	1
Ace	Kank	1
Ace	nSyb	1
Ace	para	1
Ace	Snap25	1
Alk	aPKC	1
Alk	Appl	1
Alk	brp	1
Alk	Ca-alpha1D	1
Alk	CadN	1
Alk	Cals	1
Alk	CanA-14F	1
Alk	CG11000	1
Alk	Dpp10	1
Alk	PAN3	1
Alk	CG12071	1
Alk	CG12531	1
Alk	CG16779	1
Alk	aus	1
Alk	CG32809	1
Alk	OtopLa	1
Alk	CG42540	1
Alk	CG42750	1
Alk	Stacl	1
Alk	stol	1
Alk	CG7646	1
Alk	Lrp4	1
Alk	Cow	1
Alk	cpx	1
Alk	lncRNA:CR31451	1
Alk	Dop2R	1
Alk	dpr7	1
Alk	dpr9	1
Alk	dtn	1
Alk	enc	1
Alk	GluClalpha	1
Alk	Hasp	1
Alk	IA-2	1
Alk	jeb	1
Alk	kis	1
Alk	klar	1
Alk	nAChRalpha6	1
Alk	Nrx-1	1
Alk	Pdcd4	1
Alk	Plc21C	1
Alk	Rab26	1
Alk	Rbp9	1
Alk	RhoGAPp190	1
Alk	Rim	1
Alk	RSG7	1
Alk	Rtnl1	1
Alk	SF2	1
Alk	Spn	1
Alk	unc-104	1
Alk	unc-119	1
Alk	Vap33	1
Alk	X11Lbeta	1
Alk	Ythdc1	1
Alk	7B2	1
Alk	amon	1
Alk	CG2269	1
Alk	CG2852	1
Alk	CG30172	1
Alk	CG31140	1
Alk	CG42748	1
Alk	CG43324	1
Alk	CG9646	1
Alk	CG9919	1
Alk	Cirl	1
Alk	Df31	1
Alk	fax	1
Alk	Gdi	1
Alk	Pdi	1
