gene	module	color	rgb
Ac3	1	#E69F00FF	230-159-0
AcCoAS	1	#E69F00FF	230-159-0
Ace	1	#E69F00FF	230-159-0
Alk	1	#E69F00FF	230-159-0
alphaSnap	1	#E69F00FF	230-159-0
aPKC	1	#E69F00FF	230-159-0
Appl	1	#E69F00FF	230-159-0
Atox1	1	#E69F00FF	230-159-0
ATPCL	1	#E69F00FF	230-159-0
beat-IIIb	1	#E69F00FF	230-159-0
BicD	1	#E69F00FF	230-159-0
bol	1	#E69F00FF	230-159-0
brp	1	#E69F00FF	230-159-0
Ca-alpha1D	1	#E69F00FF	230-159-0
Ca-beta	1	#E69F00FF	230-159-0
CadN	1	#E69F00FF	230-159-0
Cadps	1	#E69F00FF	230-159-0
Cals	1	#E69F00FF	230-159-0
CaMKI	1	#E69F00FF	230-159-0
Camta	1	#E69F00FF	230-159-0
CanA-14F	1	#E69F00FF	230-159-0
CanB	1	#E69F00FF	230-159-0
CASK	1	#E69F00FF	230-159-0
CG10804	1	#E69F00FF	230-159-0
CG11000	1	#E69F00FF	230-159-0
Pits	1	#E69F00FF	230-159-0
Dpp10	1	#E69F00FF	230-159-0
PAN3	1	#E69F00FF	230-159-0
CG12025	1	#E69F00FF	230-159-0
CG12071	1	#E69F00FF	230-159-0
CG12531	1	#E69F00FF	230-159-0
CG13917	1	#E69F00FF	230-159-0
CG13928	1	#E69F00FF	230-159-0
jus	1	#E69F00FF	230-159-0
CG14762	1	#E69F00FF	230-159-0
CG15628	1	#E69F00FF	230-159-0
CG15765	1	#E69F00FF	230-159-0
CG16779	1	#E69F00FF	230-159-0
aus	1	#E69F00FF	230-159-0
CG17202	1	#E69F00FF	230-159-0
CG17816	1	#E69F00FF	230-159-0
CG2258	1	#E69F00FF	230-159-0
CG2993	1	#E69F00FF	230-159-0
CG30116	1	#E69F00FF	230-159-0
CG31221	1	#E69F00FF	230-159-0
CG31324	1	#E69F00FF	230-159-0
CG31688	1	#E69F00FF	230-159-0
CG32017	1	#E69F00FF	230-159-0
CG32206	1	#E69F00FF	230-159-0
CG32264	1	#E69F00FF	230-159-0
CG32432	1	#E69F00FF	230-159-0
CG32544	1	#E69F00FF	230-159-0
CG32647	1	#E69F00FF	230-159-0
CG32700	1	#E69F00FF	230-159-0
CG32809	1	#E69F00FF	230-159-0
CG33543	1	#E69F00FF	230-159-0
side-VI	1	#E69F00FF	230-159-0
Dora	1	#E69F00FF	230-159-0
l(3)80Fg	1	#E69F00FF	230-159-0
CG40498	1	#E69F00FF	230-159-0
CG42260	1	#E69F00FF	230-159-0
CG42268	1	#E69F00FF	230-159-0
CG4230	1	#E69F00FF	230-159-0
CG42340	1	#E69F00FF	230-159-0
CG42392	1	#E69F00FF	230-159-0
OtopLa	1	#E69F00FF	230-159-0
CG42540	1	#E69F00FF	230-159-0
CG42541	1	#E69F00FF	230-159-0
CG42668	1	#E69F00FF	230-159-0
CG42750	1	#E69F00FF	230-159-0
CG42795	1	#E69F00FF	230-159-0
CG43066	1	#E69F00FF	230-159-0
Stacl	1	#E69F00FF	230-159-0
CG43737	1	#E69F00FF	230-159-0
CG43867	1	#E69F00FF	230-159-0
CG4467	1	#E69F00FF	230-159-0
CG4577	1	#E69F00FF	230-159-0
stol	1	#E69F00FF	230-159-0
CG4612	1	#E69F00FF	230-159-0
CG5890	1	#E69F00FF	230-159-0
loaf	1	#E69F00FF	230-159-0
CG6044	1	#E69F00FF	230-159-0
CG6329	1	#E69F00FF	230-159-0
CG7029	1	#E69F00FF	230-159-0
CG7646	1	#E69F00FF	230-159-0
Srrm234	1	#E69F00FF	230-159-0
CG7990	1	#E69F00FF	230-159-0
CG8500	1	#E69F00FF	230-159-0
Lrp4	1	#E69F00FF	230-159-0
cindr	1	#E69F00FF	230-159-0
Cngl	1	#E69F00FF	230-159-0
Con	1	#E69F00FF	230-159-0
Corin	1	#E69F00FF	230-159-0
Cow	1	#E69F00FF	230-159-0
cpo	1	#E69F00FF	230-159-0
cpx	1	#E69F00FF	230-159-0
lncRNA:CR31451	1	#E69F00FF	230-159-0
lncRNA:CR45054	1	#E69F00FF	230-159-0
Dhit	1	#E69F00FF	230-159-0
dlg1	1	#E69F00FF	230-159-0
Dop2R	1	#E69F00FF	230-159-0
DopEcR	1	#E69F00FF	230-159-0
dpr12	1	#E69F00FF	230-159-0
dpr14	1	#E69F00FF	230-159-0
dpr21	1	#E69F00FF	230-159-0
dpr6	1	#E69F00FF	230-159-0
dpr7	1	#E69F00FF	230-159-0
dpr8	1	#E69F00FF	230-159-0
dpr9	1	#E69F00FF	230-159-0
Dscam2	1	#E69F00FF	230-159-0
Dscam4	1	#E69F00FF	230-159-0
dtn	1	#E69F00FF	230-159-0
eIF4EHP	1	#E69F00FF	230-159-0
enc	1	#E69F00FF	230-159-0
Evi5	1	#E69F00FF	230-159-0
fend	1	#E69F00FF	230-159-0
Flo2	1	#E69F00FF	230-159-0
Frl	1	#E69F00FF	230-159-0
Frq1	1	#E69F00FF	230-159-0
GABA-B-R1	1	#E69F00FF	230-159-0
Galphao	1	#E69F00FF	230-159-0
Gfrl	1	#E69F00FF	230-159-0
Ggamma30A	1	#E69F00FF	230-159-0
GluClalpha	1	#E69F00FF	230-159-0
Glut1	1	#E69F00FF	230-159-0
Hasp	1	#E69F00FF	230-159-0
heph	1	#E69F00FF	230-159-0
Hipk	1	#E69F00FF	230-159-0
Hs3st-A	1	#E69F00FF	230-159-0
hth	1	#E69F00FF	230-159-0
hwt	1	#E69F00FF	230-159-0
IA-2	1	#E69F00FF	230-159-0
Ih	1	#E69F00FF	230-159-0
inaE	1	#E69F00FF	230-159-0
jeb	1	#E69F00FF	230-159-0
jef	1	#E69F00FF	230-159-0
Jupiter	1	#E69F00FF	230-159-0
kek1	1	#E69F00FF	230-159-0
kis	1	#E69F00FF	230-159-0
klar	1	#E69F00FF	230-159-0
Ktl	1	#E69F00FF	230-159-0
l(3)02640	1	#E69F00FF	230-159-0
l(3)neo38	1	#E69F00FF	230-159-0
lgs	1	#E69F00FF	230-159-0
Liprin-gamma	1	#E69F00FF	230-159-0
LTV1	1	#E69F00FF	230-159-0
mAChR-A	1	#E69F00FF	230-159-0
mamo	1	#E69F00FF	230-159-0
mei-P26	1	#E69F00FF	230-159-0
Mid1	1	#E69F00FF	230-159-0
miple1	1	#E69F00FF	230-159-0
mmd	1	#E69F00FF	230-159-0
Mmp2	1	#E69F00FF	230-159-0
msi	1	#E69F00FF	230-159-0
mspo	1	#E69F00FF	230-159-0
mub	1	#E69F00FF	230-159-0
mura	1	#E69F00FF	230-159-0
nAChRalpha1	1	#E69F00FF	230-159-0
nAChRalpha6	1	#E69F00FF	230-159-0
nAChRalpha7	1	#E69F00FF	230-159-0
nAChRbeta1	1	#E69F00FF	230-159-0
NaCP60E	1	#E69F00FF	230-159-0
NaPi-III	1	#E69F00FF	230-159-0
Nca	1	#E69F00FF	230-159-0
Nckx30C	1	#E69F00FF	230-159-0
NFAT	1	#E69F00FF	230-159-0
Nlg2	1	#E69F00FF	230-159-0
Nlg3	1	#E69F00FF	230-159-0
nmo	1	#E69F00FF	230-159-0
nrv3	1	#E69F00FF	230-159-0
Nrx-1	1	#E69F00FF	230-159-0
nwk	1	#E69F00FF	230-159-0
onecut	1	#E69F00FF	230-159-0
Pdcd4	1	#E69F00FF	230-159-0
Pde6	1	#E69F00FF	230-159-0
Pde9	1	#E69F00FF	230-159-0
Pdp1	1	#E69F00FF	230-159-0
Pitslre	1	#E69F00FF	230-159-0
Pkc53E	1	#E69F00FF	230-159-0
Plc21C	1	#E69F00FF	230-159-0
pros	1	#E69F00FF	230-159-0
ps	1	#E69F00FF	230-159-0
PsGEF	1	#E69F00FF	230-159-0
Ptp99A	1	#E69F00FF	230-159-0
pum	1	#E69F00FF	230-159-0
Pvf3	1	#E69F00FF	230-159-0
qvr	1	#E69F00FF	230-159-0
Rab26	1	#E69F00FF	230-159-0
Rap1	1	#E69F00FF	230-159-0
Rbfox1	1	#E69F00FF	230-159-0
Rbp6	1	#E69F00FF	230-159-0
Rbp9	1	#E69F00FF	230-159-0
Rdl	1	#E69F00FF	230-159-0
Reph	1	#E69F00FF	230-159-0
RhoGAP100F	1	#E69F00FF	230-159-0
RhoGAP71E	1	#E69F00FF	230-159-0
RhoGAP93B	1	#E69F00FF	230-159-0
RhoGAPp190	1	#E69F00FF	230-159-0
Rim	1	#E69F00FF	230-159-0
RSG7	1	#E69F00FF	230-159-0
Rtnl1	1	#E69F00FF	230-159-0
Scgbeta	1	#E69F00FF	230-159-0
Sdc	1	#E69F00FF	230-159-0
Sema1a	1	#E69F00FF	230-159-0
SF2	1	#E69F00FF	230-159-0
shakB	1	#E69F00FF	230-159-0
shep	1	#E69F00FF	230-159-0
slgA	1	#E69F00FF	230-159-0
smog	1	#E69F00FF	230-159-0
Spn	1	#E69F00FF	230-159-0
SPoCk	1	#E69F00FF	230-159-0
St3	1	#E69F00FF	230-159-0
stau	1	#E69F00FF	230-159-0
Syn1	1	#E69F00FF	230-159-0
Syt1	1	#E69F00FF	230-159-0
Syt4	1	#E69F00FF	230-159-0
Teh1	1	#E69F00FF	230-159-0
Teh2	1	#E69F00FF	230-159-0
Ten-a	1	#E69F00FF	230-159-0
Tet	1	#E69F00FF	230-159-0
tipE	1	#E69F00FF	230-159-0
tna	1	#E69F00FF	230-159-0
Tob	1	#E69F00FF	230-159-0
Tomosyn	1	#E69F00FF	230-159-0
Tsp97E	1	#E69F00FF	230-159-0
ttv	1	#E69F00FF	230-159-0
tty	1	#E69F00FF	230-159-0
tutl	1	#E69F00FF	230-159-0
unc-104	1	#E69F00FF	230-159-0
unc-119	1	#E69F00FF	230-159-0
unc-13	1	#E69F00FF	230-159-0
unc79	1	#E69F00FF	230-159-0
Vap33	1	#E69F00FF	230-159-0
VGlut	1	#E69F00FF	230-159-0
wech	1	#E69F00FF	230-159-0
X11Lbeta	1	#E69F00FF	230-159-0
Ythdc1	1	#E69F00FF	230-159-0
14-3-3epsilon	2	#009E73FF	0-158-115
7B2	2	#009E73FF	0-158-115
Alg-2	2	#009E73FF	0-158-115
amon	2	#009E73FF	0-158-115
Arf79F	2	#009E73FF	0-158-115
Bacc	2	#009E73FF	0-158-115
boca	2	#009E73FF	0-158-115
CG10098	2	#009E73FF	0-158-115
CG11151	2	#009E73FF	0-158-115
CG12038	2	#009E73FF	0-158-115
CG12194	2	#009E73FF	0-158-115
CG13551	2	#009E73FF	0-158-115
CG17841	2	#009E73FF	0-158-115
CG1927	2	#009E73FF	0-158-115
CG2269	2	#009E73FF	0-158-115
CG2852	2	#009E73FF	0-158-115
CG30172	2	#009E73FF	0-158-115
CG30389	2	#009E73FF	0-158-115
