SYMBOL	FLYBASE	GENENAME	module
Ac3	FBgn0023416	Adenylate cyclase 3	1
AcCoAS	FBgn0012034	Acetyl Coenzyme A synthase	1
Ace	FBgn0000024	Acetylcholine esterase	1
Alk	FBgn0040505	Anaplastic lymphoma kinase	1
alphaSnap	FBgn0250791	alpha Soluble NSF attachment protein	1
aPKC	FBgn0261854	atypical protein kinase C	1
Appl	FBgn0000108	beta amyloid protein precursor-like	1
Atox1	FBgn0052446	Antioxidant 1 copper chaperone	1
ATPCL	FBgn0020236	ATP citrate lyase	1
aus	NA	NA	1
beat-IIIb	FBgn0053179	beaten path IIIb	1
BicD	FBgn0000183	Bicaudal D	1
bol	FBgn0011206	boule	1
brp	FBgn0259246	bruchpilot	1
Ca-alpha1D	FBgn0001991	Ca[2+]-channel protein alpha[[1]] subunit D	1
Ca-beta	FBgn0259822	Ca2+-channel-protein-beta-subunit	1
CadN	FBgn0015609	Cadherin-N	1
Cadps	FBgn0053653	Calcium-dependent secretion activator	1
Cals	FBgn0039928	Calsyntenin-1	1
CaMKI	FBgn0016126	Calcium/calmodulin-dependent protein kinase I	1
Camta	FBgn0287478	Calmodulin-binding transcription activator	1
CanA-14F	FBgn0267912	Calcineurin A at 14F	1
CanB	FBgn0010014	Calcineurin B	1
CASK	FBgn0013759	CASK	1
CG10804	FBgn0029663	uncharacterized protein	1
CG11000	FBgn0263353	uncharacterized protein	1
CG12025	FBgn0035285	uncharacterized protein	1
CG12071	FBgn0039808	uncharacterized protein	1
CG12531	FBgn0031064	uncharacterized protein	1
CG13917	FBgn0035237	uncharacterized protein	1
CG13928	FBgn0035246	uncharacterized protein	1
CG14762	FBgn0033250	uncharacterized protein	1
CG15628	FBgn0031632	uncharacterized protein	1
CG15765	FBgn0029814	uncharacterized protein	1
CG16779	FBgn0037698	uncharacterized protein	1
CG17202	FBgn0038043	uncharacterized protein	1
CG17816	FBgn0037525	uncharacterized protein	1
CG2258	FBgn0029997	uncharacterized protein	1
CG2993	FBgn0037521	uncharacterized protein	1
CG30116	FBgn0028496	uncharacterized protein	1
CG31221	FBgn0051221	uncharacterized protein	1
CG31324	FBgn0051324	uncharacterized protein	1
CG31688	FBgn0263355	uncharacterized protein	1
CG32017	FBgn0052017	uncharacterized protein	1
CG32206	FBgn0052206	uncharacterized protein	1
CG32264	FBgn0052264	uncharacterized protein	1
CG32432	FBgn0052432	uncharacterized protein	1
CG32544	FBgn0052544	uncharacterized protein	1
