from,to,edge
14-3-3zeta,bol,1
7B2,AP-1gamma,1
7B2,Ace,1
7B2,Appl,1
7B2,Bacc,1
7B2,CASK,1
7B2,CG10082,1
7B2,CG13928,1
7B2,CG14408,1
7B2,CG2269,1
7B2,CG31140,1
7B2,CG31221,1
7B2,CG32206,1
7B2,CG32432,1
7B2,CG32809,1
7B2,CG40498,1
7B2,CG42450,1
7B2,hbt,1
7B2,CG4467,1
7B2,CG4577,1
7B2,stol,1
7B2,CG6329,1
7B2,Ca-alpha1T,1
7B2,CaMKII,1
7B2,CadN,1
7B2,Dhit,1
7B2,Fas1,1
7B2,FoxP,1
7B2,Galphao,1
7B2,Hasp,1
7B2,IA-2,1
7B2,Liprin-gamma,1
7B2,Maf1,1
7B2,NaCP60E,1
7B2,Nrx-1,1
7B2,OtopLa,1
7B2,PAN3,1
7B2,Pde1c,1
7B2,Pgant2,1
7B2,Ptp99A,1
7B2,RhoGAP93B,1
7B2,RhoGAPp190,1
7B2,Saf-B,1
7B2,Sh,1
7B2,Srrm234,1
7B2,Syt7,1
7B2,Ten-a,1
7B2,Tet,1
7B2,Tob,1
7B2,Tomosyn,1
7B2,amon,1
7B2,bol,1
7B2,brat,1
7B2,cac,1
7B2,capu,1
7B2,chinmo,1
7B2,chn,1
7B2,cindr,1
7B2,dpr9,1
7B2,elav,1
7B2,heph,1
7B2,hig,1
7B2,jim,1
7B2,kcc,1
7B2,kek1,1
7B2,l(3)neo38,1
7B2,lncRNA:CR31451,1
7B2,lncRNA:noe,1
7B2,miple1,1
7B2,mub,1
7B2,nmo,1
7B2,nwk,1
7B2,qkr58E-1,1
7B2,qvr,1
7B2,scrt,1
7B2,sm,1
7B2,ttv,1
7B2,unc-119,1
7B2,unk,1
AGO1,Ace,1
AGO1,Appl,1
AGO1,Bsg,1
AGO1,CASK,1
AGO1,CG17684,1
AGO1,CG31140,1
AGO1,CG31211,1
AGO1,CG32809,1
AGO1,CG40498,1
AGO1,CG43867,1
AGO1,CG4467,1
AGO1,stol,1
AGO1,CG6329,1
AGO1,Ciz1,1
AGO1,Fas1,1
AGO1,Gdap2,1
AGO1,Hs3st-A,1
AGO1,IA-2,1
AGO1,Lar,1
AGO1,MFS17,1
AGO1,NaCP60E,1
AGO1,Nrx-1,1
AGO1,Pdp1,1
AGO1,Pits,1
AGO1,Pitslre,1
AGO1,Pkc53E,1
AGO1,Ptp99A,1
AGO1,Rbp1-like,1
AGO1,Rbp6,1
AGO1,RhoGAPp190,1
AGO1,Srrm234,1
AGO1,Syt7,1
AGO1,Tomosyn,1
AGO1,cac,1
AGO1,cindr,1
AGO1,cpo,1
AGO1,cpx,1
AGO1,ftz-f1,1
AGO1,hig,1
AGO1,inaE,1
AGO1,jim,1
AGO1,jus,1
AGO1,kcc,1
AGO1,kek1,1
AGO1,lncRNA:CR31451,1
AGO1,lncRNA:noe,1
