from,to
Rack1,RpL18
Rack1,RpL26
Rack1,RpL28
Rack1,RpL4
Rack1,RpS27A
Rack1,RpS6
RpL10Ab,RpL12
RpL10Ab,RpL18A
RpL10Ab,RpL26
RpL10Ab,RpL28
RpL10Ab,RpL40
RpL10Ab,RpL6
RpL10Ab,RpL7
RpL10Ab,RpL7A
RpL10Ab,RpLP1
RpL10Ab,RpS15
RpL10Ab,RpS16
RpL10Ab,RpS21
RpL10Ab,RpS25
RpL10Ab,RpS3A
RpL10Ab,sta
RpL12,RpL13
RpL12,RpL13A
RpL12,RpL14
RpL12,RpL17
RpL12,RpL18
RpL12,RpL18A
RpL12,RpL21
RpL12,RpL26
RpL12,RpL27
RpL12,RpL28
RpL12,RpL29
RpL12,RpL31
RpL12,RpL32
RpL12,RpL35
RpL12,RpL36A
RpL12,RpL39
RpL12,RpL40
RpL12,RpL41
RpL12,RpL6
RpL12,RpL7
RpL12,RpL7A
RpL12,RpL8
RpL12,RpL9
RpL12,RpLP1
RpL12,RpS13
RpL12,RpS14a
RpL12,RpS15
RpL12,RpS15Aa
RpL12,RpS16
RpL12,RpS2
RpL12,RpS23
RpL12,RpS26
RpL12,RpS28b
RpL12,RpS30
RpL12,RpS3A
RpL12,RpS4
RpL12,RpS8
RpL12,RpS9
RpL12,sta
RpL13,RpL13A
RpL13,RpL14
RpL13,RpL17
RpL13,RpL18
RpL13,RpL21
RpL13,RpL31
RpL13,RpL6
RpL13,RpL7
RpL13,RpL9
RpL13,RpLP2
RpL13,RpS16
RpL13,RpS26
RpL13,RpS3
RpL13,RpS8
RpL13,RpS9
RpL13,sta
RpL13A,RpL14
RpL13A,RpL18
RpL13A,RpL18A
RpL13A,RpL21
RpL13A,RpL26
RpL13A,RpL28
RpL13A,RpL31
RpL13A,RpL35A
RpL13A,RpL4
RpL13A,RpL40
RpL13A,RpL6
RpL13A,RpL7
RpL13A,RpL9
RpL13A,RpLP1
RpL13A,RpLP2
RpL13A,RpS10b
RpL13A,RpS11
RpL13A,RpS15
RpL13A,RpS16
RpL13A,RpS2
RpL13A,RpS20
RpL13A,RpS21
RpL13A,RpS25
RpL13A,RpS27A
RpL13A,RpS3
RpL13A,RpS3A
RpL13A,RpS4
RpL13A,sta
RpL14,RpL17
RpL14,RpL18A
RpL14,RpL21
RpL14,RpL23A
RpL14,RpL26
RpL14,RpL31
RpL14,RpL34b
RpL14,RpL35A
RpL14,RpL36A
RpL14,RpL39
RpL14,RpL4
RpL14,RpL40
RpL14,RpL41
RpL14,RpL6
RpL14,RpL7
RpL14,RpL7A
RpL14,RpL9
RpL14,RpLP0
RpL14,RpLP1
RpL14,RpS10b
RpL14,RpS11
RpL14,RpS15
RpL14,RpS15Aa
RpL14,RpS16
RpL14,RpS20
RpL14,RpS25
RpL14,RpS26
RpL14,RpS27A
RpL14,RpS28b
RpL14,RpS29
RpL14,RpS3
RpL14,RpS4
RpL14,RpS8
RpL15,RpL21
RpL15,RpL28
RpL17,RpL18A
RpL17,RpL21
RpL17,RpL26
RpL17,RpL27
RpL17,RpL28
RpL17,RpL3
RpL17,RpL31
RpL17,RpL34b
RpL17,RpL35
RpL17,RpL36A
RpL17,RpL39
RpL17,RpL6
RpL17,RpL7
RpL17,RpL7A
RpL17,RpL9
RpL17,RpLP0
RpL17,RpLP1
RpL17,RpS10b
RpL17,RpS11
RpL17,RpS15
RpL17,RpS16
RpL17,RpS2
RpL17,RpS25
