PPI,Positive_environment_number,SD,H2O2,Hydroxyurea,Doxorubicin,Forskolin,Raffinose,NaCl,Cold_16C,FK506
YML056C_YLR432W,9,1,1,1,1,1,1,1,1,1
YGL087C_YDR092W,9,1,1,1,1,1,1,1,1,1
YEL031W_YGR284C,8,1,1,1,1,1,1,1,0,1
YGL099W_YBR267W,8,1,1,1,1,1,1,1,0,1
YDL212W_YBR106W,8,1,1,1,0,1,1,1,1,1
YDR508C_YDL212W,9,1,1,1,1,1,1,1,1,1
YAR002C-A_YER026C,7,1,1,1,1,1,1,0,0,1
YOR165W_YEL031W,8,1,1,1,1,1,1,1,0,1
YDL212W_YKR039W,9,1,1,1,1,1,1,1,1,1
YLR350W_YAR002C-A,7,1,1,1,1,1,1,1,0,0
YML012W_YNL130C,8,1,1,1,1,1,1,1,0,1
YGL077C_YDR497C,8,1,1,1,0,1,1,1,1,1
YEL031W_YOR016C,8,1,1,1,1,1,1,1,0,1
YBR106W_YEL031W,9,1,1,1,1,1,1,1,1,1
YNL117W_YKR097W,5,1,1,1,1,1,0,0,0,0
YPL246C_YDR264C,8,1,1,1,1,1,1,1,0,1
YKL088W_YKR072C,8,1,1,1,1,1,1,1,0,1
YEL031W_YJL192C,7,1,1,1,1,1,1,0,0,1
YJR010C-A_YEL031W,8,1,1,1,1,1,1,1,0,1
YHR110W_YML012W,8,1,1,1,1,1,1,1,0,1
YNL138W_YIL034C,8,1,1,1,1,1,1,1,0,1
YEL031W_YGL002W,4,1,0,1,1,0,1,0,0,0
YKL051W_YGL077C,8,1,1,1,1,1,0,1,1,1
YER068W_YPR072W,7,1,1,1,1,1,1,0,0,1
YOR054C_YKR072C,6,1,1,1,0,1,0,1,0,1
YKR080W_YML012W,5,1,1,0,0,1,1,0,0,1
YLR337C_YOR181W,8,1,1,1,1,1,1,1,0,1
YBL017C_YOR069W,8,1,1,1,1,1,1,1,0,1
YPL186C_YOL147C,2,1,1,0,0,0,0,0,0,0
YPR028W_YBR106W,9,1,1,1,1,1,1,1,1,1
YNL288W_YPR072W,7,1,1,1,1,1,1,1,0,0
YHL002W_YNR006W,5,1,1,0,0,1,1,0,0,1
YPR028W_YCR021C,3,1,1,0,1,0,0,0,0,0
YML072C_YCR021C,7,1,1,1,1,1,0,1,0,1
YDL160C_YNL118C,9,1,1,1,1,1,1,1,1,1
YHL011C_YOL061W,8,1,1,1,1,1,1,1,0,1
YKL193C_YFR003C,9,1,1,1,1,1,1,1,1,1
YNL288W_YER068W,8,1,1,1,1,1,1,1,0,1
YML016C_YPR028W,8,1,1,1,1,1,1,1,0,1
YKL088W_YOR054C,8,1,1,1,1,1,1,1,0,1
YJR010C-A_YML055W,8,1,1,1,1,1,1,1,0,1
YML012W_YKL212W,9,1,1,1,1,1,1,1,1,1
YDR497C_YCR021C,6,1,1,1,0,1,0,1,0,1
YMR010W_YDR100W,5,1,1,1,1,1,0,0,0,0
YNR051C_YNL255C,6,1,1,1,0,1,1,0,0,1
YGL203C_YDR100W,9,1,1,1,1,1,1,1,1,1
YNL238W_YDR170C,8,1,1,1,1,1,1,1,0,1
YMR010W_YPL246C,8,1,1,1,1,1,1,1,0,1
YML067C_YJR010C-A,7,1,1,1,0,1,1,1,0,1
YKL051W_YDL222C,6,1,1,1,1,1,0,1,0,0
YNL288W_YDL160C,7,1,1,1,1,1,1,0,0,1
YLR332W_YGL077C,7,1,1,1,1,1,1,0,0,1
YKR082W_YPR028W,7,1,1,1,1,1,1,0,0,1
YBR106W_YER056C,9,1,1,1,1,1,1,1,1,1
YIL027C_YAR002C-A,7,1,1,1,0,1,1,0,1,1
YKR072C_YML016C,8,1,1,1,1,1,1,1,0,1
YKL212W_YIL027C,3,1,1,0,0,0,1,0,0,0
YGR200C_YBL071W-A,8,1,1,1,1,1,1,1,0,1
YHR094C_YML072C,6,1,1,1,0,1,0,1,0,1
YOR165W_YAR002C-A,7,1,1,1,1,1,1,0,0,1
YHR027C_YKL145W,9,1,1,1,1,1,1,1,1,1
YEL031W_YDR508C,9,1,1,1,1,1,1,1,1,1
YEL031W_YIL027C,9,1,1,1,1,1,1,1,1,1
YBR106W_YBR283C,9,1,1,1,1,1,1,1,1,1
YGR138C_YHR096C,3,1,1,0,0,0,0,1,0,0
YKL051W_YCR021C,6,1,1,1,1,1,0,0,0,1
YOL147C_YGL153W,7,1,1,1,1,1,1,0,0,1
YGR138C_YEL031W,7,1,1,1,1,1,0,1,1,0
