module.id	SYMBOL	FLYBASE	GENENAME	phylostrata	phylostrata_name
1	Hsp26	FBgn0001225	Heat shock protein 26	1	cellular_organisms
1	DnaJ-1	FBgn0263106	DnaJ-like-1	1	cellular_organisms
1	Hsp68	FBgn0001230	Heat shock protein 68	1	cellular_organisms
1	stv	FBgn0086708	starvin	2	Eukaryota
1	Hsp23	FBgn0001224	Heat shock protein 23	1	cellular_organisms
1	Hsp83	FBgn0001233	Heat shock protein 83	1	cellular_organisms
2	RpL22	FBgn0015288	Ribosomal protein L22	1	cellular_organisms
2	RpL35	FBgn0029785	Ribosomal protein L35	1	cellular_organisms
2	RpL7A	FBgn0014026	Ribosomal protein L7A	1	cellular_organisms
2	RpL17	FBgn0029897	Ribosomal protein L17	1	cellular_organisms
2	RpS14a	FBgn0004403	Ribosomal protein S14a	1	cellular_organisms
2	RpS6	FBgn0261592	Ribosomal protein S6	1	cellular_organisms
2	RpS28b	FBgn0030136	Ribosomal protein S28b	1	cellular_organisms
2	RpS24	FBgn0261596	Ribosomal protein S24	1	cellular_organisms
2	RpL12	FBgn0034968	Ribosomal protein L12	1	cellular_organisms
2	RpL39	FBgn0023170	Ribosomal protein L39	1	cellular_organisms
2	RpL23A	FBgn0026372	Ribosomal protein L23A	1	cellular_organisms
2	RpL8	FBgn0261602	Ribosomal protein L8	1	cellular_organisms
2	RpS19a	FBgn0010412	Ribosomal protein S19a	1	cellular_organisms
2	RpS12	FBgn0286213	Ribosomal protein S12	1	cellular_organisms
2	RpS4	FBgn0011284	Ribosomal protein S4	1	cellular_organisms
2	RpS17	FBgn0005533	Ribosomal protein S17	1	cellular_organisms
2	RpL14	FBgn0017579	Ribosomal protein L14	1	cellular_organisms
2	RpL18	FBgn0035753	Ribosomal protein L18	1	cellular_organisms
2	RpLP0	FBgn0000100	Ribosomal protein LP0	1	cellular_organisms
2	RpL13A	FBgn0037351	Ribosomal protein L13A	1	cellular_organisms
2	RpL35A	FBgn0037328	Ribosomal protein L35A	1	cellular_organisms
2	RpL36A	FBgn0031980	Ribosomal protein L36A	1	cellular_organisms
2	Rack1	FBgn0020618	Receptor of activated protein kinase C 1	1	cellular_organisms
2	RpS13	FBgn0010265	Ribosomal protein S13	1	cellular_organisms
2	RpL13	FBgn0011272	Ribosomal protein L13	1	cellular_organisms
2	RpL7	FBgn0005593	Ribosomal protein L7	1	cellular_organisms
2	RpS27A	FBgn0003942	Ribosomal protein S27A	1	cellular_organisms
2	RpS26	FBgn0261597	Ribosomal protein S26	1	cellular_organisms
2	RpL34b	FBgn0037686	Ribosomal protein L34b	1	cellular_organisms
2	RpS29	FBgn0261599	Ribosomal protein S29	1	cellular_organisms
2	RpL3	FBgn0020910	Ribosomal protein L3	1	cellular_organisms
2	RpS25	FBgn0086472	Ribosomal protein S25	1	cellular_organisms
2	RpS20	FBgn0019936	Ribosomal protein S20	1	cellular_organisms
2	RpS30	FBgn0038834	Ribosomal protein S30	1	cellular_organisms
2	RpL4	FBgn0003279	Ribosomal protein L4	1	cellular_organisms
2	RpL32	FBgn0002626	Ribosomal protein L32	1	cellular_organisms
2	RpL6	FBgn0039857	Ribosomal protein L6	2	Eukaryota
2	RpL18A	FBgn0010409	Ribosomal protein L18A	2	Eukaryota
2	RpLP2	FBgn0003274	Ribosomal protein LP2	2	Eukaryota
2	RpS15	FBgn0034138	Ribosomal protein S15	1	cellular_organisms
2	RpS23	FBgn0033912	Ribosomal protein S23	1	cellular_organisms
2	RpS11	FBgn0033699	Ribosomal protein S11	1	cellular_organisms
