current_symbol	submitted_item	validated_id	FBID_KEY	ANNOTATION_SYMBOL	LOCATION_ARM	LOCATION_MAX	LOCATION_MIN	LOCATION_STRAND	NAME	SYMBOL
128up	128up	FBgn0010339	FBgn0010339	CG8340	2R	12038851	12037298	1	upstream of RpIII128	128up
14-3-3epsilon	14-3-3epsilon	FBgn0020238	FBgn0020238	CG31196	3R	18250550	18242531	1	14-3-3epsilon	14-3-3epsilon
14-3-3zeta	14-3-3zeta	FBgn0004907	FBgn0004907	CG17870	2R	10109687	10099677	1	14-3-3zeta	14-3-3zeta
140up	140up	FBgn0010340	FBgn0010340	CG9852	3R	14125548	14124163	-1	upstream of RpII140	140up
18SrRNA-Psi:CR41602	18SrRNA-Psi:CR41602	FBgn0085813	FBgn0085813	CR41602	X	23213166	23211192	1	18S ribosomal RNA pseudogene:CR41602	18SrRNA-Psi:CR41602
18w	18w	FBgn0287775	FBgn0287775	CG8896	2R	20116932	20111511	1	18 wheeler	18w
26-29-p	26-29-p	FBgn0250848	FBgn0250848	CG8947	3L	13996571	13994231	1	26-29kD-proteinase	26-29-p
28SrRNA-Psi:CR40596	28SrRNA-Psi:CR40596	FBgn0085753	FBgn0085753	CR40596	rDNA	22940	16936	1	28S ribosomal RNA pseudogene:CR40596	28SrRNA-Psi:CR40596
28SrRNA-Psi:CR40741	28SrRNA-Psi:CR40741	FBgn0085771	FBgn0085771	CR40741	X	23240975	23239718	1	28S ribosomal RNA pseudogene:CR40741	28SrRNA-Psi:CR40741
28SrRNA-Psi:CR41609	28SrRNA-Psi:CR41609	FBgn0085819	FBgn0085819	CR41609	X	23262666	23261772	-1	28S ribosomal RNA pseudogene:CR41609	28SrRNA-Psi:CR41609
28SrRNA-Psi:CR45848	28SrRNA-Psi:CR45848	FBgn0267508	FBgn0267508	CR45848	rDNA	5312	4492	-1	28S ribosomal RNA pseudogene:CR45848	28SrRNA-Psi:CR45848
28SrRNA-Psi:CR45851	28SrRNA-Psi:CR45851	FBgn0267511	FBgn0267511	CR45851	rDNA	38740	35941	1	28S ribosomal RNA pseudogene:CR45851	28SrRNA-Psi:CR45851
28SrRNA-Psi:CR45853	28SrRNA-Psi:CR45853	FBgn0267513	FBgn0267513	CR45853	X	23201056	23200802	1	28S ribosomal RNA pseudogene:CR45853	28SrRNA-Psi:CR45853
28SrRNA-Psi:CR45855	28SrRNA-Psi:CR45855	FBgn0267515	FBgn0267515	CR45855	X	23206525	23205822	1	28S ribosomal RNA pseudogene:CR45855	28SrRNA-Psi:CR45855
28SrRNA-Psi:CR45859	28SrRNA-Psi:CR45859	FBgn0267519	FBgn0267519	CR45859	X	23217140	23214452	1	28S ribosomal RNA pseudogene:CR45859	28SrRNA-Psi:CR45859
28SrRNA-Psi:CR45860	28SrRNA-Psi:CR45860	FBgn0267520	FBgn0267520	CR45860	X	23271158	23270802	-1	28S ribosomal RNA pseudogene:CR45860	28SrRNA-Psi:CR45860
2mit	2mit	FBgn0260793	FBgn0260793	CG42573	3R	13155687	13121951	-1	2mit	2mit
4E-T	4E-T	FBgn0052016	FBgn0052016	CG32016	4	958392	951542	-1	eIF4E-Transporter	4E-T
5-HT1A	5-HT1A	FBgn0004168	FBgn0004168	CG16720	2R	19121958	19067155	1	5-hydroxytryptamine (serotonin) receptor 1A	5-HT1A
5-HT1B	5-HT1B	FBgn0263116	FBgn0263116	CG15113	2R	19032642	19022325	-1	5-hydroxytryptamine (serotonin) receptor 1B	5-HT1B
5-HT2B	5-HT2B	FBgn0261929	FBgn0261929	CG42796	3R	8629996	8578205	1	5-hydroxytryptamine (serotonin) receptor 2B	5-HT2B
5-HT7	5-HT7	FBgn0004573	FBgn0004573	CG12073	3R	31016875	30968236	-1	5-hydroxytryptamine (serotonin) receptor 7	5-HT7
5.8SrRNA-Psi:CR45849	5.8SrRNA-Psi:CR45849	FBgn0267509	FBgn0267509	CR45849	rDNA	16497	16375	1	5.8S ribosomal RNA pseudogene:CR45849	5.8SrRNA-Psi:CR45849
5.8SrRNA-Psi:CR45857	5.8SrRNA-Psi:CR45857	FBgn0267517	FBgn0267517	CR45857	X	23214011	23213889	1	5.8S ribosomal RNA pseudogene:CR45857	5.8SrRNA-Psi:CR45857
5.8SrRNA-Psi:CR45863	5.8SrRNA-Psi:CR45863	FBgn0267523	FBgn0267523	CR45863	X	23291671	23291549	1	5.8S ribosomal RNA pseudogene:CR45863	5.8SrRNA-Psi:CR45863
5PtaseI	5PtaseI	FBgn0259178	FBgn0259178	CG42283	3R	25045151	25040427	-1	Inositol polyphosphate-5-phosphatase type I	5PtaseI
5SrRNA-Psi:CR33363	5SrRNA-Psi:CR33363	FBgn0053363	FBgn0053363	CR33363	2R	19762570	19762427	-1	5SrRNA-Psi:CR33363	5SrRNA-Psi:CR33363
7B2	7B2	FBgn0041707	FBgn0041707	CG1168	3R	5377975	5376780	1	7B2	7B2
AANATL2	AANATL2	FBgn0031791	FBgn0031791	CG9486	2L	6256822	6255859	1	Arylalkylamine N-acetyltransferase-like 2	AANATL2
AANATL7	CG13759	FBgn0040376	FBgn0040376	CG13759	X	2583823	2580958	1	Arylalkylamine N-acetyltransferase-like 7	AANATL7
ABCB7	ABCB7	FBgn0035244	FBgn0035244	CG7955	3L	1623413	1618414	1	ATP binding cassette subfamily B member 7	ABCB7
