module.id	SYMBOL	FLYBASE	GENENAME	phylostrata	phylostrata_name
1	CG15765	FBgn0029814	uncharacterized protein	6	Bilateria
1	unc-119	FBgn0025549	unc-119	2	Eukaryota
1	CG2258	FBgn0029997	uncharacterized protein	2	Eukaryota
1	fend	FBgn0030090	forked end	9	Pancrustacea
1	CG32700	FBgn0267253	uncharacterized protein	10	Insecta
1	X11Lbeta	FBgn0052677	X11Lbeta	3	Opisthokonta
1	mAChR-A	FBgn0000037	muscarinic Acetylcholine Receptor, A-type	3	Opisthokonta
1	miple1	FBgn0027111	midkine and pleiotrophin 1	6	Bilateria
1	Hipk	FBgn0035142	Homeodomain interacting protein kinase	1	cellular_organisms
1	l(3)02640	FBgn0010786	lethal (3) 02640	1	cellular_organisms
1	CG13928	FBgn0035246	uncharacterized protein	11	Diptera
1	CG12025	FBgn0035285	uncharacterized protein	2	Eukaryota
1	PAN3	FBgn0035397	Poly(A) specific ribonuclease subunit PAN3	2	Eukaryota
1	Ythdc1	FBgn0027616	YTH domain containing 1	2	Eukaryota
1	CG32264	FBgn0052264	uncharacterized protein	3	Opisthokonta
1	tipE	FBgn0003710	temperature-induced paralytic E	9	Pancrustacea
1	nAChRbeta1	FBgn0000038	nicotinic Acetylcholine Receptor beta1	1	cellular_organisms
1	DopEcR	FBgn0035538	Dopamine/Ecdysteroid receptor	4	Metazoa
1	Evi5	FBgn0262740	Ecotropic viral integration site 5	2	Eukaryota
1	Lrp4	FBgn0030706	LDL receptor related protein 4	1	cellular_organisms
1	Tob	FBgn0028397	Transducer of ERBB2	2	Eukaryota
1	CG7990	FBgn0030997	uncharacterized protein	2	Eukaryota
1	CG12531	FBgn0031064	uncharacterized protein	1	cellular_organisms
1	alphaSnap	FBgn0250791	alpha Soluble NSF attachment protein	1	cellular_organisms
1	Nca	FBgn0013303	Neurocalcin	1	cellular_organisms
1	Frl	FBgn0267795	Formin-like	2	Eukaryota
1	tna	FBgn0026160	tonalli	2	Eukaryota
1	nmo	FBgn0011817	nemo	1	cellular_organisms
1	Pdp1	FBgn0016694	PAR-domain protein 1	5	Eumetazoa
1	tty	FBgn0015558	tweety	5	Eumetazoa
1	CG15628	FBgn0031632	uncharacterized protein	1	cellular_organisms
1	Reph	FBgn0021800	Regulator of eph expression	10	Insecta
1	Syt1	FBgn0004242	Synaptotagmin 1	2	Eukaryota
1	VGlut	FBgn0031424	Vesicular glutamate transporter	1	cellular_organisms
1	Pitslre	FBgn0016696	pitslre	1	cellular_organisms
1	CG32432	FBgn0052432	uncharacterized protein	5	Eumetazoa
1	AcCoAS	FBgn0012034	Acetyl Coenzyme A synthase	1	cellular_organisms
1	Syn1	FBgn0037130	Syntrophin-like 1	3	Opisthokonta
1	nAChRalpha6	FBgn0032151	nicotinic Acetylcholine Receptor alpha6	1	cellular_organisms
1	Syt4	FBgn0028400	Synaptotagmin 4	1	cellular_organisms
1	pum	FBgn0003165	pumilio	2	Eukaryota
1	mura	FBgn0037705	murashka	2	Eukaryota
1	CG8500	FBgn0037754	uncharacterized protein	1	cellular_organisms
1	hth	FBgn0001235	homothorax	1	cellular_organisms
1	Jupiter	FBgn0051363	jupiter	6	Bilateria
1	CG17202	FBgn0038043	uncharacterized protein	2	Eukaryota
1	Scgbeta	FBgn0038042	Sarcoglycan beta	5	Eumetazoa
1	Ace	FBgn0000024	Acetylcholine esterase	1	cellular_organisms
1	Ktl	FBgn0038839	Kctd12-like	2	Eukaryota
